"TargetGroup","FirstDose","SecondDose","Population","Denominator","Country","ReportingCountry","minAge","maxAge","ageWidth","YearWeekISO"
"Age5_9",0,0,5525292,NA,"Finland","FI",5,9,5,"2020-W52"
"Age50_59",15,0,5525292,724665,"Finland","FI",50,59,10,"2020-W52"
"Age60_69",3,0,5525292,716579,"Finland","FI",60,69,10,"2020-W52"
"Age70_79",11,0,5525292,561908,"Finland","FI",70,79,10,"2020-W52"
"Age80+",13,0,5525292,312406,"Finland","FI",80,100,21,"2020-W52"
"Age0_4",0,0,4058165,NA,"Croatia","HR",0,4,5,"2020-W52"
"Age10_14",0,0,4058165,202389,"Croatia","HR",10,14,5,"2020-W52"
"Age15_17",0,0,4058165,115854,"Croatia","HR",15,17,3,"2020-W52"
"Age18_24",12,0,4058165,321108,"Croatia","HR",18,24,7,"2020-W52"
"Age25_49",354,1,4058165,1319478,"Croatia","HR",25,49,25,"2020-W52"
"Age5_9",0,0,4058165,NA,"Croatia","HR",5,9,5,"2020-W52"
"Age50_59",251,0,4058165,570899,"Croatia","HR",50,59,10,"2020-W52"
"Age60_69",178,0,4058165,562891,"Croatia","HR",60,69,10,"2020-W52"
"Age70_79",346,0,4058165,364156,"Croatia","HR",70,79,10,"2020-W52"
"Age80+",924,0,4058165,222308,"Croatia","HR",80,100,21,"2020-W52"
"Age<18",0,0,9769526,1709048,"Hungary","HU",0,17,18,"2020-W52"
"Age18_24",19,0,9769526,741094,"Hungary","HU",18,24,7,"2020-W52"
"Age25_49",647,0,9769526,3490565,"Hungary","HU",25,49,25,"2020-W52"
"Age50_59",278,0,9769526,1235206,"Hungary","HU",50,59,10,"2020-W52"
"Age60_69",118,0,9769526,1295058,"Hungary","HU",60,69,10,"2020-W52"
"Age70_79",31,0,9769526,859765,"Hungary","HU",70,79,10,"2020-W52"
"Age80+",2,0,9769526,438790,"Hungary","HU",80,100,21,"2020-W52"
"Age<18",0,0,59641488,9433159,"Italy","IT",0,17,18,"2020-W52"
"Age18_24",84,0,59641488,4121339,"Italy","IT",18,24,7,"2020-W52"
"Age25_49",3171,0,59641488,18920355,"Italy","IT",25,49,25,"2020-W52"
"Age50_59",2176,2,59641488,9414195,"Italy","IT",50,59,10,"2020-W52"
"Age60_69",1467,0,59641488,7364364,"Italy","IT",60,69,10,"2020-W52"
"Age70_79",128,0,59641488,5968373,"Italy","IT",70,79,10,"2020-W52"
"Age80+",195,0,59641488,4419703,"Italy","IT",80,100,21,"2020-W52"
"Age0_4",0,0,2794090,NA,"Lithuania","LT",0,4,5,"2020-W52"
"Age10_14",0,0,2794090,132642,"Lithuania","LT",10,14,5,"2020-W52"
"Age15_17",0,0,2794090,76077,"Lithuania","LT",15,17,3,"2020-W52"
"Age18_24",84,0,2794090,209209,"Lithuania","LT",18,24,7,"2020-W52"
"Age25_49",1254,0,2794090,914337,"Lithuania","LT",25,49,25,"2020-W52"
"Age5_9",0,0,2794090,NA,"Lithuania","LT",5,9,5,"2020-W52"
"Age50_59",702,0,2794090,419039,"Lithuania","LT",50,59,10,"2020-W52"
