"thedate","agcl","inj","dep","txEPCI","txRes","txSPF","txEPCIw","txResw","txSPFw","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","date"
"2021-01-03","00-39","1","06",NA,NA,2.61053437638685e-05,NA,NA,1.95790078229013e-05,0,0,464810,0,0,0,0,0,338086,0,0,0,12,12,459676,459676,9,9,2021-01-03
"2021-01-10","00-39","1","06",0.000400182940772925,0.000491666256944786,0.000267579773579652,0.000400182940772925,0.000491666256944786,0.000241474429815783,70,70,929620,174920,70,70,90,90,676172,183051,90,90,123,123,459676,459676,111,111,2021-01-10
"2021-01-17","00-39","1","06",0.0020734479046214,0.00228119250272995,0.00147712736797222,0.00179432991746082,0.00194462311708127,0.00120954759439257,520,520,464810,250790,450,450,610,610,338086,267404,520,520,679,679,459676,459676,556,556,2021-01-17
"2021-01-24","00-39","1","06",0.00426651780374018,0.00467457480067613,0.00300211453284487,0.00219306989911878,0.00239338229794618,0.00152498716487265,1070,1070,464810,250790,550,550,1250,1250,338086,267404,640,640,1380,1380,459676,459676,701,701,2021-01-24
"2021-01-31","00-39","1","06",0.00578172973404043,0.00639481832732495,0.00408548629904541,0.00162185232607768,0.00172024352664882,0.00108337176620054,1450,1450,464810,250790,380,380,1710,1710,338086,267404,460,460,1878,1878,459676,459676,498,498,2021-01-31
"2021-02-07","00-39","1","06",0.00630009171019578,0.00695576730340608,0.00443138210391667,0.000512163892445583,0.000598345574486545,0.000345895804871257,1580,1580,464810,250790,120,120,1860,1860,338086,267404,160,160,2037,2037,459676,459676,159,159,2021-02-07
"2021-02-14","00-39","1","06",0.00518781556899517,0.00807766525556835,0.00507096302613145,0.00106700810926163,0.00115929455056768,0.000639580922214777,1870,1870,464810,360460,250,250,2160,2160,338086,267404,310,310,2331,2331,459676,459676,294,294,2021-02-14
"2021-02-21","00-39","1","06",0.00671364367752317,0.0104336509551091,0.0065567921753583,0.00233547418466928,0.00235598569954077,0.00148582914922685,2420,2420,464810,360460,560,560,2790,2790,338086,267404,630,630,3014,3014,459676,459676,683,683,2021-02-21
"2021-02-28","00-39","1","06",0.00835044110303501,0.0129392230482715,0.00821883239499126,0.00232359055888468,0.00250557209316241,0.00166204021963296,3010,3010,464810,360460,570,570,3460,3460,338086,267404,670,670,3778,3778,459676,459676,764,764,2021-02-28
"2021-03-07","00-39","1","06",0.0107917660766798,0.0132214880237573,0.010590067786876,0.00354878583675585,0.0037022632421355,0.00237123539188472,3890,3890,464810,360460,890,890,4470,4470,338086,338086,990,990,4868,4868,459676,459676,1090,1090,2021-03-07
"2021-03-14","00-39","1","06",0.0141485879154414,0.0173328679685051,0.0140294468277656,0.00339851802328821,0.00519812717835186,0.00343937904088967,5100,5100,464810,360460,1220,1220,5860,5860,338086,338086,1390,1390,6449,6449,459676,459676,1581,1581,2021-03-14
"2021-03-21","00-39","1","06",0.0160073239749209,0.0196399732612412,0.0159960493913104,0.00263168387894254,0.00291693467562191,0.00196660256354476,5770,5770,464810,360460,660,660,6640,6640,338086,338086,780,780,7353,7353,459676,459676,904,904,2021-03-21
"2021-03-28","00-39","1","06",0.0157705086807993,0.0229231615624427,0.0186457417833431,0.00370828182941904,0.00325361002821767,0.00264969239203265,6740,6740,464810,427380,930,930,7750,7750,338086,338086,1100,1100,8571,8571,459676,459676,1218,1218,2021-03-28
"2021-04-04","00-39","1","06",0.0185526695847313,0.0284542986104127,0.0230771238872597,0.00626021771202999,0.00695576730340608,0.00443138210391667,8350,8350,464810,450070,1570,1570,9620,9620,338086,338086,1860,1860,10608,10608,459676,459676,2037,2037,2021-04-04
"2021-04-11","00-39","1","06",0.0234539704848911,0.0362038061321676,0.0293663362890384,0.00632525106807968,0.00979790878221717,0.00628921240177864,10680,10680,464810,455360,2280,2280,12240,12240,338086,338086,2620,2620,13499,13499,459676,459676,2891,2891,2021-04-11
"2021-04-18","00-39","1","06",0.0294053056921996,0.0455209621220636,0.0372740800041769,0.00749042889641014,0.0117799284977038,0.00790774371513849,13390,13390,464810,455360,2700,2700,15390,15390,338086,338086,3150,3150,17134,17134,459676,459676,3635,3635,2021-04-18
"2021-04-25","00-39","1","06",0.0368060435699227,0.0570860668587283,0.0476966385019013,0.00849630486149515,0.0146220699765149,0.0104225584977245,16760,16760,464810,455360,3380,3380,19300,19300,338086,338086,3910,3910,21925,21925,459676,459676,4791,4791,2021-04-25
"2021-05-02","00-39","1","06",0.0454585382993675,0.0707216507042587,0.0602554842976357,0.00932201374521414,0.0136355838455304,0.0125588457957344,20700,20700,464810,455360,3920,3920,23910,23910,338086,338086,4610,4610,27698,27698,459676,459676,5773,5773,2021-05-02
"2021-05-09","00-39","1","06",0.0586349262122277,0.0912785504279976,0.0784030491041516,0.0139688333567317,0.0205568997237389,0.0181475648065159,26700,26700,464810,455360,5970,5970,30860,30860,338086,338086,6950,6950,36040,36040,459676,459676,8342,8342,2021-05-09
"2021-05-16","00-39","1","06",0.0854466578896251,0.135616381630709,0.121750972424055,0.027820344031252,0.0443674094756955,0.0433479233199036,39590,39590,464810,463330,12890,12890,45850,45850,338086,338086,15000,15000,55966,55966,459676,459676,19926,19926,2021-05-16
"2021-05-23","00-39","1","06",0.113029590140936,0.179273912554794,0.162107658437682,0.0276260980294822,0.0436279526511006,0.040356686013627,52370,52370,464810,463330,12800,12800,60610,60610,338086,338086,14750,14750,74517,74517,459676,459676,18551,18551,2021-05-23
