YearWeekISO,FirstDose,FirstDoseRefused,SecondDose,UnknownDose,NumberDosesReceived,Region,Population,ReportingCountry,TargetGroup,Vaccine,Denominator
2020-W53,0,,0,0,0,AT,8901064,AT,1_Age60+,AZ,2259262
2020-W53,0,,0,0,0,AT,8901064,AT,1_Age60+,JANSS,2259262
2020-W53,0,,0,0,0,AT,8901064,AT,1_Age60+,UNK,2259262
2020-W53,2771,,0,0,61425,AT,8901064,AT,1_Age60+,COM,2259262
2020-W53,0,,0,0,0,AT,8901064,AT,1_Age60+,MOD,2259262
2020-W53,0,,0,0,0,AT,8901064,AT,1_Age<60,UNK,5099181
2020-W53,0,,0,0,0,AT,8901064,AT,1_Age<60,MOD,5099181
2020-W53,0,,0,0,0,AT,8901064,AT,1_Age<60,AZ,5099181
2020-W53,0,,0,0,0,AT,8901064,AT,1_Age<60,JANSS,5099181
2020-W53,2340,,0,0,61425,AT,8901064,AT,1_Age<60,COM,5099181
2020-W53,5106,,0,0,61425,AT,8901064,AT,ALL,COM,7358443
2020-W53,0,,0,0,0,AT,8901064,AT,ALL,UNK,7358443
2020-W53,0,,0,0,0,AT,8901064,AT,ALL,AZ,7358443
2020-W53,0,,0,0,0,AT,8901064,AT,ALL,MOD,7358443
2020-W53,0,,0,0,0,AT,8901064,AT,ALL,JANSS,7358443
2020-W53,0,,0,0,0,AT,8901064,AT,Age0_4,MOD,
2020-W53,0,,0,0,0,AT,8901064,AT,Age0_4,AZ,
2020-W53,1,,0,0,61425,AT,8901064,AT,Age0_4,COM,
2020-W53,0,,0,0,0,AT,8901064,AT,Age0_4,UNK,
2020-W53,0,,0,0,0,AT,8901064,AT,Age0_4,JANSS,
2020-W53,0,,0,0,0,AT,8901064,AT,Age10_14,JANSS,
2020-W53,0,,0,0,0,AT,8901064,AT,Age10_14,UNK,
2020-W53,0,,0,0,61425,AT,8901064,AT,Age10_14,COM,
2020-W53,0,,0,0,0,AT,8901064,AT,Age10_14,AZ,
2020-W53,0,,0,0,0,AT,8901064,AT,Age10_14,MOD,
2020-W53,0,,0,0,0,AT,8901064,AT,Age15_17,MOD,
2020-W53,0,,0,0,0,AT,8901064,AT,Age15_17,AZ,
2020-W53,4,,0,0,61425,AT,8901064,AT,Age15_17,COM,
2020-W53,0,,0,0,0,AT,8901064,AT,Age15_17,UNK,
2020-W53,0,,0,0,0,AT,8901064,AT,Age15_17,JANSS,
2020-W53,0,,0,0,0,AT,8901064,AT,Age18_24,JANSS,696064
2020-W53,0,,0,0,0,AT,8901064,AT,Age18_24,AZ,696064
2020-W53,0,,0,0,0,AT,8901064,AT,Age18_24,UNK,696064
