dep;clage_vacsi;jour;n_tot_dose1;n_tot_complet;pop;couv_tot_dose1;couv_tot_complet
07;39;2021-07-08;13350;8175;34837.0;38.3;23.5
07;49;2021-07-08;20705;14574;41497.0;49.9;35.1
07;59;2021-07-08;29970;24867;46663.0;64.2;53.3
07;64;2021-07-08;17134;15353;23577.0;72.7;65.1
07;69;2021-07-08;18608;17104;23453.0;79.3;72.9
07;74;2021-07-08;18864;17832;21460.0;87.9;83.1
07;79;2021-07-08;12251;11528;13721.0;89.3;84.0
07;80;2021-07-08;19506;18053;24817.0;78.6;72.7
08;04;2021-07-08;7;3;13099.0;0.1;0.0
08;09;2021-07-08;4;0;15286.0;0.0;0.0
08;11;2021-07-08;6;3;6551.0;0.1;0.0
08;17;2021-07-08;4614;483;19588.0;23.6;2.5
08;24;2021-07-08;9477;4517;18037.0;52.5;25.0
08;29;2021-07-08;5731;3146;13085.0;43.8;24.0
08;39;2021-07-08;15576;9590;30561.0;51.0;31.4
08;49;2021-07-08;20361;14113;32888.0;61.9;42.9
08;59;2021-07-08;27471;22341;37571.0;73.1;59.5
08;64;2021-07-08;14994;13239;18636.0;80.5;71.0
08;69;2021-07-08;15000;13475;17922.0;83.7;75.2
08;74;2021-07-08;14316;13274;15463.0;92.6;85.8
08;79;2021-07-08;7981;7520;8669.0;92.1;86.7
08;80;2021-07-08;14135;13182;18175.0;77.8;72.5
09;04;2021-07-08;7;2;6587.0;0.1;0.0
09;09;2021-07-08;5;0;7745.0;0.1;0.0
09;11;2021-07-08;14;2;3388.0;0.4;0.1
09;17;2021-07-08;1778;294;10191.0;17.4;2.9
09;24;2021-07-08;4822;2428;9110.0;52.9;26.7
09;29;2021-07-08;3012;1651;6679.0;45.1;24.7
09;39;2021-07-08;8236;4951;15798.0;52.1;31.3
09;49;2021-07-08;12517;8502;18797.0;66.6;45.2
09;59;2021-07-08;15451;12375;21635.0;71.4;57.2
09;64;2021-07-08;8621;7489;11336.0;76.0;66.1
09;69;2021-07-08;9508;8531;11303.0;84.1;75.5
09;74;2021-07-08;9792;9073;10028.0;97.6;90.5
09;79;2021-07-08;6424;6064;6375.0;99.0;95.1
09;80;2021-07-08;10626;9934;13426.0;79.1;74.0
10;04;2021-07-08;3;0;16179.0;0.0;0.0
10;09;2021-07-08;3;0;18930.0;0.0;0.0
10;11;2021-07-08;11;0;8186.0;0.1;0.0
10;17;2021-07-08;4488;598;23738.0;18.9;2.5
10;24;2021-07-08;11626;6690;24096.0;48.2;27.8
10;29;2021-07-08;6920;4361;16549.0;41.8;26.4
10;39;2021-07-08;16758;11621;36584.0;45.8;31.8
10;49;2021-07-08;22734;17091;38394.0;59.2;44.5
10;59;2021-07-08;28833;24342;39551.0;72.9;61.5
10;64;2021-07-08;15390;13738;19401.0;79.3;70.8
10;69;2021-07-08;15978;14536;19343.0;82.6;75.1
10;74;2021-07-08;16502;15474;17592.0;93.8;88.0
10;79;2021-07-08;10113;9656;10554.0;95.8;91.5
10;80;2021-07-08;16990;15811;20810.0;81.6;76.0
