dep;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel
2A;0;2021-10-28;124863;121197;9474;162421.0;76.9;74.6;5.8
2B;0;2021-10-28;124746;122148;10347;182258.0;68.4;67.0;5.7
30;0;2021-10-28;550553;540384;35456;748468.0;73.6;72.2;4.7
31;0;2021-10-28;990872;975547;43526;1400935.0;70.7;69.6;3.1
32;0;2021-10-28;154776;146861;10044;190040.0;81.4;77.3;5.3
33;0;2021-10-28;1303878;1285151;70015;1633440.0;79.8;78.7;4.3
34;0;2021-10-28;900976;884708;55579;1176145.0;76.6;75.2;4.7
35;0;2021-10-28;850181;848539;42679;1082073.0;78.6;78.4;3.9
36;0;2021-10-28;173302;170621;13924;217139.0;79.8;78.6;6.4
37;0;2021-10-28;476140;469719;25350;605380.0;78.7;77.6;4.2
38;0;2021-10-28;917485;896714;48521;1264979.0;72.5;70.9;3.8
39;0;2021-10-28;201588;196091;13752;257849.0;78.2;76.0;5.3
40;0;2021-10-28;343880;340600;23720;411979.0;83.5;82.7;5.8
41;0;2021-10-28;252691;249841;16748;327835.0;77.1;76.2;5.1
42;0;2021-10-28;608942;591265;33390;764737.0;79.6;77.3;4.4
43;0;2021-10-28;170615;167510;12936;226901.0;75.2;73.8;5.7
44;0;2021-10-28;1123345;1120857;52160;1437137.0;78.2;78.0;3.6
45;0;2021-10-28;496797;487080;28874;682890.0;72.7;71.3;4.2
46;0;2021-10-28;149596;147053;10310;173166.0;86.4;84.9;6.0
47;0;2021-10-28;261563;254627;14236;330336.0;79.2;77.1;4.3
48;0;2021-10-28;54064;53672;4936;76286.0;70.9;70.4;6.5
49;0;2021-10-28;668929;651347;32040;815881.0;82.0;79.8;3.9
50;0;2021-10-28;418190;412276;27015;490669.0;85.2;84.0;5.5
51;0;2021-10-28;428923;421790;24662;563823.0;76.1;74.8;4.4
52;0;2021-10-28;130550;128403;7152;169250.0;77.1;75.9;4.2
53;0;2021-10-28;244106;238491;16166;305365.0;79.9;78.1;5.3
54;0;2021-10-28;541033;529439;34448;730398.0;74.1;72.5;4.7
