"thedate","agcl","inj","dep","txEPCI","txRes","txSPF","txEPCIw","txResw","txSPFw","date"
"2021-01-03","00-39","1","57",NA,NA,2.11324454888569e-06,NA,NA,2.11324454888569e-06,2021-01-03
"2021-01-10","00-39","1","57",0.000531537916371368,0.000294154416360869,0.000120454939286484,0.000531537916371368,0.000294154416360869,0.000118341694737598,2021-01-10
"2021-01-17","00-39","1","57",0.00158410138248848,0.00132369487362391,0.000633973364665706,0.00121153380179307,0.00102954045726304,0.000513518425379222,2021-01-17
"2021-01-24","00-39","1","57",0.00394601138962378,0.00382400741269129,0.00220411406448777,0.00265058038570515,0.00246354323702227,0.00157014069982206,2021-01-24
"2021-01-31","00-39","1","57",0.00468466875856278,0.00455939345359346,0.00259717755058051,0.0010584810796507,0.00077215534294728,0.000393063486092738,2021-01-31
"2021-02-07","00-39","1","57",0.00542448768727398,0.00525801019245053,0.00294797614569553,0.0010531242686637,0.000661847436811954,0.000350798595115024,2021-02-07
"2021-02-14","00-39","1","57",0.00761560146421509,0.00757447622129237,0.00431735861337346,0.00246330182988136,0.00231646602884184,0.00136938246767792,2021-02-14
"2021-02-21","00-39","1","57",0.011065763453528,0.0111043292176228,0.00638622502673254,0.00359377079728471,0.00349308369428532,0.00206886641335909,2021-02-21
"2021-02-28","00-39","1","57",0.0160073989755265,0.0188994212511858,0.0113819351402983,0.00791012748769302,0.00779509203356302,0.00499571011356576,2021-02-28
"2021-03-07","00-39","1","57",0.0196540880503145,0.0189830547892241,0.0145201032953935,0.00528338136407301,0.00507416368222498,0.00313816815509524,2021-03-07
"2021-03-14","00-39","1","57",0.0243710691823899,0.0234308455744482,0.0177892926125197,0.0057222198847141,0.0055889339108565,0.00326918931712616,2021-03-14
"2021-03-21","00-39","1","57",0.0286436970194148,0.0276170016076002,0.021037349484157,0.00538369509485558,0.00529477949449564,0.0032480568716373,2021-03-21
"2021-03-28","00-39","1","57",0.0304354812791258,0.0311636060245762,0.0237803409086106,0.00454411579080237,0.00444908554745814,0.00274299142445362,2021-03-28
"2021-04-04","00-39","1","57",0.0313331905388452,0.0336927419612722,0.0255026352159525,0.00315563596583498,0.00319892927792445,0.00172229430734183,2021-04-04
"2021-04-11","00-39","1","57",0.0337770994092541,0.0392742833388083,0.0296720667109039,0.00698447427104809,0.00694939808652552,0.00416943149495146,2021-04-11
"2021-04-18","00-39","1","57",0.0349208065300827,0.0424139003636723,0.0316838755214431,0.00403921403626878,0.00400785392291684,0.00201180881053917,2021-04-18
