"thedate","agcl","inj","dep","txEPCI","txRes","txSPF","txEPCIw","txResw","txSPFw","date"
"2021-01-03","00-39","1","40",NA,NA,0,NA,NA,0,2021-01-03
"2021-01-10","00-39","1","40",0.000911577028258888,0.000633121765143481,0.000250551518892196,0.000911577028258888,0.000633121765143481,0.000250551518892196,2021-01-10
"2021-01-17","00-39","1","40",0.00468292682926829,0.00356206081409281,0.0020349672144171,0.00393130560728326,0.00302235463013935,0.00178441569552491,2021-01-17
"2021-01-24","00-39","1","40",0.00737740488933893,0.00701618039139492,0.0040638234161783,0.00332706495009403,0.00345411957730212,0.00202885620176119,2021-01-24
"2021-01-31","00-39","1","40",0.00896860986547085,0.00874324018004598,0.00515158366892978,0.00222434064188116,0.00183500102544175,0.00108776025275148,2021-01-31
"2021-02-07","00-39","1","40",0.00995285489785228,0.0102544174951157,0.00605601354200405,0.00155107467316641,0.00161911855186037,0.000904429873074267,2021-02-07
"2021-02-14","00-39","1","40",0.0114058695373574,0.0116576535733946,0.00671600290884202,0.00154440154440154,0.00129529484148829,0.000659989366837979,2021-02-14
"2021-02-21","00-39","1","40",0.0128285750220098,0.0131688308884643,0.00747987949083043,0.00168740771989032,0.00161911855186037,0.000763876581988401,2021-02-21
"2021-02-28","00-39","1","40",0.0145125279087075,0.0154355968610688,0.00859208379420554,0.00227113906359189,0.00237470720939521,0.00111220430337511,2021-02-28
"2021-03-07","00-39","1","40",0.0179856115107914,0.0193214813855337,0.0105109417681604,0.00361206429474445,0.00388588452446488,0.00191885797395486,2021-03-07
"2021-03-14","00-39","1","40",0.0218308112130985,0.0235311896203707,0.0125581310078893,0.00389954765247231,0.00420970823483695,0.00204718923972892,2021-03-14
"2021-03-21","00-39","1","40",0.0248077400148846,0.0263376617769286,0.0139881079693716,0.00285459411239964,0.00291441339334866,0.00142997696148229,2021-03-21
"2021-03-28","00-39","1","40",0.0280327462168196,0.0304394287749749,0.0155586382219398,0.00398025792071326,0.00388588452446488,0.00157053025256815,2021-03-28
