"thedate","agcl","inj","dep","txEPCI","txRes","txSPF","txEPCIw","txResw","txSPFw","date"
"2021-01-03","00-39","1","79",NA,NA,1.26016004032512e-05,NA,NA,1.26016004032512e-05,2021-01-03
"2021-01-10","00-39","1","79",NA,0.000344388194372697,0.000126016004032512,NA,0.000344388194372697,0.000113414403629261,2021-01-10
"2021-01-17","00-39","1","79",0.00175824175824176,0.00139962909828895,0.000825404826412954,0.00145525103080281,0.00154974687467714,0.000699388822380442,2021-01-17
"2021-01-24","00-39","1","79",0.00427586206896552,0.0045487945694391,0.00262113288387625,0.00331034482758621,0.00314916547115015,0.0017957280574633,2021-01-24
"2021-01-31","00-39","1","79",0.00570187347271246,0.00583178790953731,0.00325121290403881,0.00145525103080281,0.00116635758190746,0.000630080020162561,2021-01-31
"2021-02-07","00-39","1","79",0.00624490904154222,0.00629833094230029,0.00354104971331359,0.000760745530620008,0.000688776388745394,0.000289836809274778,2021-02-07
"2021-02-14","00-39","1","79",0.00923160467010589,0.0090975891388782,0.005217062566946,0.00278469881283893,0.00279925819657791,0.00167601285363241,2021-02-14
"2021-02-21","00-39","1","79",0.0116752647298398,0.0116635758190746,0.00647722260727112,0.00288,0.00256598668019641,0.00126016004032512,2021-02-21
"2021-02-28","00-39","1","79",0.0141189247895737,0.0143461982574618,0.00765547224497511,0.00275169957915183,0.00256598668019641,0.00117824963770399,2021-02-28
"2021-03-07","00-39","1","79",0.0169698615259299,0.0167955491794674,0.009104656291349,0.00286291680700573,0.00256598668019641,0.00144918404637389,2021-03-07
"2021-03-14","00-39","1","79",0.0203638338311159,0.0204112576833806,0.0108058723457879,0.00372413793103448,0.00361570850391313,0.00170121605443891,2021-03-14
"2021-03-21","00-39","1","79",0.0162134944612286,0.021577615265288,0.0113540419633293,0.00125838926174497,0.00116635758190746,0.000548169617541428,2021-03-21
"2021-03-28","00-39","1","79",0.0175226586102719,0.0236770589127215,0.0125322916010333,0.00224,0.00209944364743343,0.00117824963770399,2021-03-28
"2021-04-04","00-39","1","79",0.0211840515505437,0.0351073632154146,0.0193056518177809,0.0115395058376324,0.0114303043026931,0.00677336021674753,2021-04-04
"2021-04-11","00-39","1","79",0.025946111921394,0.0336597038997923,0.0249322663978325,0.00979310344827586,0.00956413217164118,0.00562661458005167,2021-04-11
"2021-04-18","00-39","1","79",0.0287096031319567,0.0374288894927377,0.0274336840778779,0.00510344827586207,0.00501533760220208,0.00250141768004537,2021-04-18
"2021-04-25","00-39","1","79",0.030091348737238,0.039444965507569,0.0286560393169933,0.00303132367800606,0.00268262243838716,0.00122235523911537,2021-04-25
"2021-05-02","00-39","1","79",0.0333921854609657,0.0433018065794202,0.0309810345913931,0.00496551724137931,0.00524860911858358,0.00232499527439985,2021-05-02
"2021-05-09","00-39","1","79",0.0366717802615239,0.0504895558496884,0.0347300107113603,0.0096551724137931,0.00944749641345044,0.00374897611996724,2021-05-09
"2021-05-16","00-39","1","79",0.0434147359632645,0.0629366338542991,0.0420704429462542,0.0120845921450151,0.0165622776630859,0.00734043223489383,2021-05-16
"2021-05-23","00-39","1","79",0.0609451897795456,0.0906357651885031,0.0592527250960872,0.0202352253634305,0.0277867868131098,0.017182282149833,2021-05-23
