"thedate","agcl","inj","dep","txEPCI","txRes","txSPF","txEPCIw","txResw","txSPFw","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","date"
"2021-01-03","00-39","1","03",NA,NA,0,NA,NA,0,0,0,134630,0,0,0,0,0,92170,0,0,0,0,0,128149,128149,0,0,2021-01-03
"2021-01-10","00-39","1","03",NA,NA,2.34102490070153e-05,NA,NA,2.34102490070153e-05,0,0,269260,0,0,0,0,0,184340,0,0,0,3,3,128149,128149,3,3,2021-01-10
"2021-01-17","00-39","1","03",0.00378184713375796,0.00386376645678306,0.00220836682299511,0.0035828025477707,0.00372066399542072,0.00218495657398809,190,190,134630,50240,180,180,270,270,92170,69880,260,260,283,283,128149,128149,280,280,2021-01-17
"2021-01-24","00-39","1","03",0.0068407960199005,0.00758443045220378,0.00435430631530484,0.00371615643248982,0.00372066399542072,0.00214593949230973,440,440,134630,64320,210,210,530,530,92170,69880,260,260,558,558,128149,128149,275,275,2021-01-24
"2021-01-31","00-39","1","03",0.00812152203338848,0.0088723526044648,0.005111237699865,0.00173310225303293,0.00128792215226102,0.00075693138456016,540,540,134630,66490,60,60,620,620,92170,69880,90,90,655,655,128149,128149,97,97,2021-01-31
"2021-02-07","00-39","1","03",0.0102271018198225,0.0110188895248998,0.00650804922395025,0.00259965337954939,0.0020034344590727,0.00139681152408524,680,680,134630,66490,90,90,770,770,92170,69880,140,140,834,834,128149,128149,179,179,2021-02-07
"2021-02-14","00-39","1","03",0.0134376845835794,0.0144533485975959,0.00883346729198043,0.00378184713375796,0.00357756153405839,0.00232541806803018,910,910,134630,67720,190,190,1010,1010,92170,69880,250,250,1132,1132,128149,128149,298,298,2021-02-14
"2021-02-21","00-39","1","03",0.0155050206733609,0.0164567830566686,0.00984010799928208,0.00247524752475248,0.0020034344590727,0.00100664070730166,1050,1050,134630,67720,130,130,1150,1150,92170,69880,140,140,1261,1261,128149,128149,129,129,2021-02-21
"2021-02-28","00-39","1","03",0.0190490253987005,0.0198912421293646,0.0119002099118994,0.00351988736360436,0.00343445907269605,0.00206010191261734,1290,1290,134630,67720,200,200,1390,1390,92170,69880,240,240,1525,1525,128149,128149,264,264,2021-02-28
"2021-03-07","00-39","1","03",0.0231836975782634,0.02389811104751,0.014381696306643,0.0041111659266568,0.00400686891814539,0.00248148639474362,1570,1570,134630,67720,250,250,1670,1670,92170,69880,280,280,1843,1843,128149,128149,318,318,2021-03-07
"2021-03-14","00-39","1","03",0.0268753691671589,0.0277618775042931,0.0167773451216943,0.00426039536468984,0.00386376645678306,0.00239564881505123,1820,1820,134630,67720,250,250,1940,1940,92170,69880,270,270,2150,2150,128149,128149,307,307,2021-03-14
"2021-03-21","00-39","1","03",0.0295333727111636,0.0299084144247281,0.0179088404903667,0.00302245250431779,0.00214653692043503,0.0011314953686724,2000,2000,134630,67720,140,140,2090,2090,92170,69880,150,150,2295,2295,128149,128149,145,145,2021-03-21
"2021-03-28","00-39","1","03",0.0335203780271707,0.0334859759587865,0.0196021818352075,0.0041111659266568,0.00329135661133372,0.00169334134484077,2270,2270,134630,67720,250,250,2340,2340,92170,69880,230,230,2512,2512,128149,128149,217,217,2021-03-28
"2021-04-04","00-39","1","03",0.037359716479622,0.0367773325701202,0.0211316514369991,0.00407007609272695,0.00343445907269605,0.00152946960179166,2530,2530,134630,67720,230,230,2570,2570,92170,69880,240,240,2708,2708,128149,128149,196,196,2021-04-04
"2021-04-11","00-39","1","03",0.0366295786973372,0.0324400564174894,0.0242374111385965,0.00651000317561131,0.00586720091585575,0.00310575970159736,2930,2930,134630,79990,410,410,2990,2990,92170,92170,410,410,3106,3106,128149,128149,398,398,2021-04-11
"2021-04-18","00-39","1","03",0.0346201270985488,0.0402517087989584,0.030214828051721,0.0102271018198225,0.0104464796794505,0.00597741691312457,3650,3650,134630,105430,680,680,3710,3710,92170,92170,730,730,3872,3872,128149,128149,766,766,2021-04-18
"2021-04-25","00-39","1","03",0.0350788430727717,0.045567972225236,0.0341789635502423,0.00700825416601775,0.0068689181453921,0.00396413549852125,4160,4160,134630,118590,450,450,4200,4200,92170,92170,480,480,4380,4380,128149,128149,508,508,2021-04-25
"2021-05-02","00-39","1","03",0.0396323467408719,0.0514267115113377,0.0383850049551694,0.00841151730831446,0.00772753291356611,0.00420604140492708,4700,4700,134630,118590,520,520,4740,4740,92170,92170,540,540,4919,4919,128149,128149,539,539,2021-05-02
"2021-05-09","00-39","1","03",0.0545577198752003,0.0710643376369752,0.0539840342101772,0.0181818181818182,0.0259015455065827,0.0155990292550078,6470,6470,134630,118590,1720,1720,6550,6550,92170,92170,1810,1810,6918,6918,128149,128149,1999,1999,2021-05-09
"2021-05-16","00-39","1","03",0.0797864225781846,0.118042747097754,0.0965516703212666,0.0313358988455195,0.0470869046327438,0.0425676361110894,10460,10460,134630,131100,3990,3990,10880,10880,92170,92170,4340,4340,12373,12373,128149,128149,5455,5455,2021-05-16
"2021-05-23","00-39","1","03",0.11481117081662,0.172507323424108,0.142154835386932,0.0358740935040889,0.0544645763263535,0.0456031650656658,15170,15170,134630,132130,4650,4650,15900,15900,92170,92170,5020,5020,18217,18217,128149,128149,5844,5844,2021-05-23
"2021-05-30","00-39","1","03",0.149223798559014,0.230335250081371,0.194835699069052,0.0368576402028305,0.0578279266572638,0.05268086368212,20090,20090,134630,134630,4870,4870,21230,21230,92170,92170,5330,5330,24968,24968,128149,128149,6751,6751,2021-05-30
"2021-06-06","00-39","1","03",0.176557973705712,0.270478463708365,0.226907740208663,0.0280784076288504,0.0401432136269936,0.0320720411396109,23770,23770,134630,134630,3710,3710,24930,24930,92170,92170,3700,3700,29078,29078,128149,128149,4110,4110,2021-06-06
"2021-06-13","00-39","1","03",0.199584045160811,0.304111967017468,0.255101483429445,0.0231966477102664,0.0337419984810676,0.0281937432207821,26870,26870,134630,134630,3100,3100,28030,28030,92170,92170,3110,3110,32691,32691,128149,128149,3613,3613,2021-06-13
"2021-06-20","00-39","1","03",0.22261011661591,0.334165129651731,0.278371270942419,0.0231218198144268,0.0300531626342628,0.0232697875129732,29970,29970,134630,134630,3090,3090,30800,30800,92170,92170,2770,2770,35673,35673,128149,128149,2982,2982,2021-06-20
