"thedate","agcl","inj","dep","txEPCI","txRes","txSPF","txEPCIw","txResw","txSPFw","date"
"2021-01-03","00-39","1","92",NA,NA,5.87161134630177e-05,NA,NA,5.28445021167159e-05,2021-01-03
"2021-01-10","00-39","1","92",0.000656024491581019,0.000383001197382691,0.000277140055545443,0.000656024491581019,0.000362843239625707,0.000218423942082426,2021-01-10
"2021-01-17","00-39","1","92",0.00199198164351093,0.00199563781794139,0.00108859674360435,0.00165678409487269,0.0016126366205587,0.000811456688058904,2021-01-17
"2021-01-24","00-39","1","92",0.00307347755646622,0.00328574711438835,0.00185542918543136,0.00130666969662538,0.00129010929644696,0.000766832441827011,2021-01-24
"2021-01-31","00-39","1","92",0.00382121352477999,0.00324795085311754,0.00243084709736893,0.000704032541948606,0.000725686479251414,0.000575417911937573,2021-01-31
"2021-02-07","00-39","1","92",0.00409911996294581,0.00346012854703979,0.00261991298271985,0.000397930760047752,0.000262053450840788,0.000189065885350917,2021-02-07
"2021-02-14","00-39","1","92",0.00590596594841508,0.00501065784877933,0.00378601499609538,0.00189520053270501,0.00191500598691345,0.00116610201337553,2021-02-14
"2021-02-21","00-39","1","92",0.00802842246112675,0.00674072212229922,0.00501787905654949,0.00217504139993574,0.00213674352224027,0.00123186406045411,2021-02-21
"2021-02-28","00-39","1","92",0.00980482628154847,0.0081933232576131,0.00590096940303327,0.0018440028623328,0.00177390028261457,0.000883090346483786,2021-02-28
"2021-03-07","00-39","1","92",0.0140266691274858,0.0117677013321495,0.00785856462589028,0.00427441256346676,0.00441459274877944,0.00195759522285701,2021-03-07
"2021-03-14","00-39","1","92",0.018917547178517,0.0159296484052398,0.010486697864495,0.00500846337561157,0.00509996331251688,0.00262813323860467,2021-03-14
"2021-03-21","00-39","1","92",0.0218408017509504,0.0183615312048102,0.0117854982942969,0.00294237255699352,0.00302369366354756,0.00129880042980195,2021-03-21
"2021-03-28","00-39","1","92",0.0255249161629323,0.0229315123046741,0.0141928589462806,0.00558814663667772,0.00455365973879294,0.00240736065198372,2021-03-28
"2021-04-04","00-39","1","92",0.0313561313198197,0.0284154896245108,0.017180334799279,0.00625201864070502,0.00548397731983666,0.00298747585299834,2021-04-04
"2021-04-11","00-39","1","92",0.031499540668504,0.0343564650543338,0.0208547891797946,0.0070364047432289,0.00597361815196493,0.00367445438051564,2021-04-11
"2021-04-18","00-39","1","92",0.0336214403199278,0.0399057278184542,0.0239244675916412,0.00675956258939695,0.00554926276412043,0.00306967841184656,2021-04-18
"2021-04-25","00-39","1","92",0.0363295137246525,0.0454060264993618,0.02705403643922,0.00680776177464919,0.0055002986809076,0.00312956884757884,2021-04-25
"2021-05-02","00-39","1","92",0.0415374008962427,0.0549050586426503,0.0325698281379359,0.0109897341405633,0.00948271078221755,0.00551579169871588,2021-05-02
"2021-05-09","00-39","1","92",0.0556827643630308,0.0805295955240299,0.0511957536506744,0.0224100648712404,0.0256408582424506,0.0186259255127385,2021-05-09
"2021-05-16","00-39","1","92",0.0842486665906528,0.124760484026284,0.0814216345391666,0.0309114168602981,0.044230888502254,0.0302258808884922,2021-05-16
"2021-05-23","00-39","1","92",0.133277589854687,0.196949864043062,0.129809583644039,0.0494423364378521,0.0721567372946365,0.0483879491048729,2021-05-23
"2021-05-30","00-39","1","92",0.177514118570669,0.262300593771116,0.169332573938266,0.0448430493273543,0.0653670510891244,0.0395229902942264,2021-05-30
"2021-06-06","00-39","1","92",0.228872793577633,0.33874984902741,0.224368361409422,0.0514740349410259,0.0764492552562943,0.0550357874711557,2021-06-06
"2021-06-13","00-39","1","92",0.272038898878112,0.40317026117442,0.274230084962216,0.043229417276572,0.0644367335080807,0.0498617235527946,2021-06-13
"2021-06-20","00-39","1","92",0.302517284169473,0.447760219620235,0.305320267040884,0.0305037100817991,0.0445736370847438,0.0310901820786678,2021-06-20
"2021-06-27","00-39","1","92",0.326575835084965,0.483455036282386,0.331966813652671,0.0241343924594276,0.0356948166621511,0.0266465466117867,2021-06-27
"2021-07-04","00-39","1","92",0.347456124800567,0.514367694150751,0.353388800488518,0.020853128602739,0.030912657868365,0.0214219868358474,2021-07-04
"2021-07-11","00-39","1","92",0.369273431762352,0.546863524042997,0.376400819676944,0.0219046533135697,0.0324958298922464,0.0230120191884259,2021-07-11
"2021-07-18","00-39","1","92",0.401182667713425,0.594113864343375,0.410887141758313,0.0319384794699302,0.0472503403003783,0.0344863220813688,2021-07-18
"2021-07-25","00-39","1","92",0.439423101273837,0.650814272703829,0.457396175232369,0.0383164079317244,0.056700408360454,0.0465090334740563,2021-07-25
