"thedate","agcl","inj","dep","txEPCI","txRes","txSPF","txEPCIw","txResw","txSPFw","date"
"2021-01-03","00-39","1","29",NA,NA,2.55630909867097e-06,NA,NA,2.55630909867097e-06,2021-01-03
"2021-01-10","00-39","1","29",NA,NA,2.30067818880388e-05,NA,NA,2.04504727893678e-05,2021-01-10
"2021-01-17","00-39","1","29",0.00133779264214047,0.00106825697618251,0.00049848027424084,0.00114667940754897,0.00102181102069632,0.000475473492352801,2021-01-17
"2021-01-24","00-39","1","29",0.00454179602161665,0.00445881172667484,0.0024310499528361,0.00351390922401171,0.00343700070597852,0.00193256967859526,2021-01-24
"2021-01-31","00-39","1","29",0.00505921582154766,0.00510905510348159,0.00266623038991383,0.000860585197934596,0.000603797421320551,0.00023518043707773,2021-01-31
"2021-02-07","00-39","1","29",0.00551167679981817,0.00548062274737116,0.00284261571772212,0.000432089874693936,0.000418013599375766,0.000176385327808297,2021-02-07
"2021-02-14","00-39","1","29",0.00911786093863624,0.00910340727529447,0.00478285432361339,0.00379251284560803,0.00362278452792331,0.00194023860589127,2021-02-14
"2021-02-21","00-39","1","29",0.0125048630022787,0.0126797458477316,0.00665151627474188,0.00373339861680641,0.00357633857243711,0.00186866195112848,2021-02-21
"2021-02-28","00-39","1","29",0.0175623853720891,0.0174636792628098,0.00930752142826102,0.00523527578684949,0.00478393341507821,0.00265600515351914,2021-02-28
"2021-03-07","00-39","1","29",0.0230089479241927,0.0231765317876119,0.0125156893470931,0.00588842348084745,0.00575929848028834,0.00320816791883207,2021-03-07
"2021-03-14","00-39","1","29",0.0268896691923859,0.0249516406679799,0.0178737132179075,0.00940511222664589,0.00933563705272545,0.00535802387081436,2021-03-14
"2021-03-21","00-39","1","29",0.0271653543307087,0.0265488296154324,0.0189192436392639,0.0024754390036358,0.00213651395236503,0.00104553042135643,2021-03-21
"2021-03-28","00-39","1","29",0.0301399825021872,0.0295302489840104,0.0209975229364834,0.00404833466233209,0.00390146026084049,0.0020782792972195,2021-03-28
"2021-04-04","00-39","1","29",0.0331855756559243,0.0357415393352145,0.0250262660759888,0.00788722940090619,0.00808159625459815,0.00402874313950546,2021-04-04
"2021-04-11","00-39","1","29",0.0381773890819057,0.0410300094056682,0.0287533647418511,0.00699876492383697,0.00692044736744324,0.00372709866586228,2021-04-11
"2021-04-18","00-39","1","29",0.0420685561656032,0.0485900370902767,0.0340346993397054,0.010012865693349,0.009939434474046,0.00528133459785423,2021-04-18
"2021-04-25","00-39","1","29",0.0471092077087794,0.0561500647748851,0.0393850542832237,0.010012865693349,0.0098929885185598,0.00535035494351835,2021-04-25
"2021-05-02","00-39","1","29",0.0519485062618065,0.0633196684945607,0.0444107579712108,0.00928567433014488,0.00938208300821164,0.00502570368798714,2021-05-02
"2021-05-09","00-39","1","29",0.0601968490711814,0.0761326731619017,0.05341407861673,0.012591815320042,0.0167205439750307,0.00900332064551917,2021-05-09
