"thedate","agcl","inj","dep","txEPCI","txRes","txSPF","txEPCIw","txResw","txSPFw","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","date"
"2021-01-03","00-39","1","35",NA,NA,7.33780694963696e-06,NA,NA,7.33780694963696e-06,0,0,519280,0,0,0,0,0,382071,0,0,0,4,4,545122,545122,4,4,2021-01-03
"2021-01-10","00-39","1","35",8.01860315932964e-05,0.000100308448479073,5.50335521222772e-05,8.01860315932964e-05,0.000100308448479073,4.76957451726403e-05,10,10,1038560,124710,10,10,20,20,764142,199385,20,20,30,30,545122,545122,26,26,2021-01-10
"2021-01-17","00-39","1","35",0.00137682694344419,0.001251674537557,0.000625548042456551,0.00129519089987611,0.00111635837133462,0.000570514490334274,260,260,519280,188840,230,230,370,370,382071,295604,330,330,341,341,545122,545122,311,311,2021-01-17
"2021-01-24","00-39","1","35",0.00368451352907311,0.00372119457111541,0.00195919445555307,0.0023947864321608,0.002503349075114,0.00133364641309652,960,960,519280,260550,610,610,1100,1100,382071,295604,740,740,1068,1068,545122,545122,727,727,2021-01-24
"2021-01-31","00-39","1","35",0.00418883731461565,0.00436394636067171,0.00224170002311409,0.000763213127265789,0.000676580831111893,0.000282505567561023,1110,1110,519280,264990,120,120,1290,1290,382071,295604,200,200,1222,1222,545122,545122,154,154,2021-01-31
"2021-02-07","00-39","1","35",0.00457113126207819,0.00476989485933885,0.00239762842079388,0.000481116189559779,0.000405948498667136,0.000155928397679785,1230,1230,519280,269080,60,60,1410,1410,382071,295604,120,120,1307,1307,545122,545122,85,85,2021-02-07
"2021-02-14","00-39","1","35",0.00862197116099301,0.0088293798460102,0.00468702418908061,0.00401367623011744,0.00405948498667136,0.00228939576828673,2320,2320,519280,269080,1080,1080,2610,2610,382071,295604,1200,1200,2555,2555,545122,545122,1248,1248,2021-02-14
"2021-02-21","00-39","1","35",0.012301174371934,0.0125844034586812,0.00665905980679554,0.00392665017473593,0.0037888526542266,0.00197203561771493,3310,3310,519280,269080,1000,1000,3720,3720,382071,295604,1120,1120,3630,3630,545122,545122,1075,1075,2021-02-21
"2021-02-28","00-39","1","35",0.0119826006073373,0.0165762303622414,0.00891726989554632,0.0040683170216849,0.00395799786200457,0.00225821008875078,4380,4380,519280,365530,1060,1060,4900,4900,382071,295604,1170,1170,4861,4861,545122,545122,1231,1231,2021-02-28
"2021-03-07","00-39","1","35",0.0138976281016606,0.019113408478911,0.0102215650808443,0.00261548366328666,0.0025371781166696,0.00130429518529797,5080,5080,519280,365530,650,650,5650,5650,382071,295604,750,750,5572,5572,545122,545122,711,711,2021-03-07
"2021-03-14","00-39","1","35",0.0184663365524034,0.0255070973329184,0.0138831307487131,0.00462342352200914,0.00635985981245179,0.00366156566786884,6750,6750,519280,365530,1690,1690,7540,7540,382071,295604,1880,1880,7568,7568,545122,545122,1996,1996,2021-03-14
"2021-03-21","00-39","1","35",0.0211747325800892,0.029126804779367,0.0160587905092805,0.00268556715302196,0.00365353648800422,0.00217565976056736,7740,7740,519280,365530,970,970,8610,8610,382071,295604,1080,1080,8754,8754,545122,545122,1186,1186,2021-03-21
"2021-03-28","00-39","1","35",0.0239652012146746,0.0253617783082202,0.0180436672891573,0.00377871825876663,0.00365353648800422,0.0019848767798768,8760,8760,519280,365530,1000,1000,9690,9690,382071,382071,1080,1080,9836,9836,545122,545122,1082,1082,2021-03-28
"2021-04-04","00-39","1","35",0.0262999028845901,0.0289213261409529,0.0202413404705736,0.00471978593726773,0.00463457869311647,0.00219767318141627,10020,10020,519280,380990,1270,1270,11050,11050,382071,382071,1370,1370,11034,11034,545122,545122,1198,1198,2021-04-04
