"thedate","agcl","inj","dep","txEPCI","txRes","txSPF","txEPCIw","txResw","txSPFw","date"
"2021-01-03","00-39","1","14",NA,NA,3.16705251923193e-06,NA,NA,3.16705251923193e-06,2021-01-03
"2021-01-10","00-39","1","14",0.000595947556615018,0.000691539020089209,0.000240695991461626,0.000595947556615018,0.000691539020089209,0.000237528938942394,2021-01-10
"2021-01-17","00-39","1","14",0.00401550816948214,0.00398721778876991,0.00204908297994306,0.00332317917474384,0.00346714590327819,0.00180838698848143,2021-01-17
"2021-01-24","00-39","1","14",0.00581900876195572,0.00572079074040901,0.00286934958242413,0.00195548933792718,0.00173357295163909,0.000820266602481069,2021-01-24
"2021-01-31","00-39","1","14",0.00622031971105612,0.00624086262590074,0.00305620568105881,0.000744934445768772,0.000691539020089209,0.000186856098634684,2021-01-31
"2021-02-07","00-39","1","14",0.00744653767820774,0.00785886404743056,0.00396514975407837,0.00205245153933865,0.00161800142152982,0.000908944073019563,2021-02-07
"2021-02-14","00-39","1","14",0.0131109979633401,0.0135218690227849,0.00721454563881033,0.00560081466395112,0.00566300497535437,0.00324939588473196,2021-02-14
"2021-02-21","00-39","1","14",0.0147982489531785,0.0201672320040681,0.0111036861324271,0.00664451827242525,0.00676093451139246,0.00388914049361681,2021-02-21
"2021-02-28","00-39","1","14",0.0177483821850019,0.0239233067326195,0.0132604488980241,0.00417769112936917,0.00375607472855137,0.00215676276559694,2021-02-28
"2021-03-07","00-39","1","14",0.0202702702702703,0.0274482384009523,0.0151796827246786,0.00377276354929986,0.00352493166833282,0.00191923382665455,2021-03-07
"2021-03-14","00-39","1","14",0.0240768937952037,0.0325333857257603,0.0180173617819104,0.00508110220832519,0.00502736155975337,0.00283767905723181,2021-03-14
"2021-03-21","00-39","1","14",0.025456794822992,0.0264584322934933,0.0191099949010454,0.00212557226945716,0.00196471601185764,0.00109263311913501,2021-03-21
"2021-03-28","00-39","1","14",0.0286448420251237,0.0297435396587928,0.0213617692422193,0.0040491118077325,0.00421836084898846,0.0022517743411739,2021-03-28
"2021-04-04","00-39","1","14",0.0357346783403121,0.0372460145876524,0.0267742619975867,0.00977135040062537,0.00970800852917892,0.00541249275536736,2021-04-04
"2021-04-11","00-39","1","14",0.0419344398723935,0.0447928828592864,0.0328074970467235,0.00737533307955843,0.00982358005928819,0.00603323504913682,2021-04-11
"2021-04-18","00-39","1","14",0.0424530267049952,0.0503864440488504,0.0370703497376097,0.0070010183299389,0.00722322063182956,0.00426285269088617,2021-04-18
"2021-04-25","00-39","1","14",0.0467858184393617,0.055491678467897,0.0410323324391688,0.00642820773930754,0.00670314874633783,0.00396198270155914,2021-04-25
"2021-05-02","00-39","1","14",0.0518419126616248,0.0629497600539823,0.0466221801356132,0.00713741910925009,0.00970800852917892,0.00558984769644435,2021-05-02
"2021-05-09","00-39","1","14",0.0612337983199666,0.0796416569371257,0.0587773277044253,0.0153072986306423,0.0217274476605433,0.0121551475688121,2021-05-09
"2021-05-16","00-39","1","14",0.0765038285351256,0.112847877332315,0.0832048037852612,0.0235932107894922,0.0332062203951895,0.0244274760808358,2021-05-16
"2021-05-23","00-39","1","14",0.0946514323563504,0.140416143195166,0.101589543659403,0.0194684796044499,0.0275682658628512,0.0183847398741413,2021-05-23
"2021-05-30","00-39","1","14",0.117072362974002,0.173444790219259,0.124994061776526,0.0226702778613702,0.0330730403668666,0.0234045181171239,2021-05-30
"2021-06-06","00-39","1","14",0.167014406358669,0.247270919252949,0.181095230102201,0.0499420433846663,0.0738705223764644,0.0561011683256743,2021-06-06
