"thedate","agcl","inj","dep","txEPCI","txRes","txSPF","txEPCIw","txResw","txSPFw","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","date"
"2021-01-03","00-39","1","41",NA,NA,0,NA,NA,0,0,0,148540,0,0,0,0,0,96554,0,0,0,0,0,135856,135856,0,0,2021-01-03
"2021-01-10","00-39","1","41",NA,NA,1.4721469791544e-05,NA,NA,1.4721469791544e-05,0,0,297080,0,0,0,0,0,193108,0,0,0,2,2,135856,135856,2,2,2021-01-10
"2021-01-17","00-39","1","41",0.000906070673512534,0.00101161332092421,0.000345954540101284,0.000435729847494553,0.00101161332092421,0.00033123307030974,30,30,148540,33110,10,10,50,50,96554,49426,50,50,47,47,135856,135856,45,45,2021-01-17
"2021-01-24","00-39","1","41",0.00450515913384683,0.00400248430060037,0.00201684136144153,0.00357089718791846,0.00331240080049686,0.00167088682134024,310,310,148540,68810,240,240,290,290,96554,72455,240,240,274,274,135856,135856,227,227,2021-01-24
"2021-01-31","00-39","1","41",0.00610376398779247,0.0056586847008488,0.00276763632081027,0.00174764068507515,0.00165620040024843,0.000750794959368743,420,420,148540,68810,100,100,410,410,96554,72455,120,120,376,376,135856,135856,102,102,2021-01-31
"2021-02-07","00-39","1","41",0.00683040255776777,0.00662480160099372,0.00327552702861854,0.00123571207908557,0.00141625864929389,0.000507890707808268,470,470,148540,68810,40,40,480,480,96554,72455,70,70,445,445,135856,135856,69,69,2021-02-07
"2021-02-14","00-39","1","41",0.0101402972635088,0.00993720240149058,0.00511571075256154,0.00316957210776545,0.00317438410047616,0.001840183723943,730,730,148540,71990,200,200,720,720,96554,72455,230,230,695,695,135856,135856,250,250,2021-02-14
"2021-02-21","00-39","1","41",0.0122239199888873,0.0124215030018632,0.00627134613119774,0.00245607406007935,0.00248430060037264,0.0011556353786362,880,880,148540,71990,130,130,900,900,96554,72455,180,180,852,852,135856,135856,157,157,2021-02-21
"2021-02-28","00-39","1","41",0.0140297263508821,0.0143537368021531,0.00725768460723119,0.00209716882209018,0.00207025050031054,0.000986338476033447,1010,1010,148540,71990,120,120,1040,1040,96554,72455,150,150,986,986,135856,135856,134,134,2021-02-28
"2021-03-07","00-39","1","41",0.0158355327128768,0.0162859706024429,0.00795695442232953,0.00227193289059769,0.00207025050031054,0.000699269815098339,1140,1140,148540,71990,130,130,1180,1180,96554,72455,150,150,1081,1081,135856,135856,95,95,2021-03-07
"2021-03-14","00-39","1","41",0.0193082372551743,0.0191843213028776,0.00922300082440231,0.0034257748776509,0.00303636740045546,0.00126604640207278,1390,1390,148540,71990,210,210,1390,1390,96554,72455,220,220,1253,1253,135856,135856,172,172,2021-03-14
"2021-03-21","00-39","1","41",0.0201416863453257,0.020426471603064,0.00987810623012602,0.00155078831739468,0.00110413360016562,0.000655105405723707,1450,1450,148540,71990,60,60,1480,1480,96554,72455,80,80,1342,1342,135856,135856,89,89,2021-03-21
"2021-03-28","00-39","1","41",0.0234696678561625,0.0240149058036022,0.0116888470144859,0.00361990950226244,0.00358843420053826,0.00181074078435991,1710,1710,148540,72860,200,200,1740,1740,96554,72455,260,260,1588,1588,135856,135856,246,246,2021-03-28
"2021-04-04","00-39","1","41",0.0312928904748833,0.0321578911048237,0.0161273701566364,0.00818330605564648,0.00814298530122145,0.00443852314215051,2280,2280,148540,72860,550,550,2330,2330,96554,72455,590,590,2191,2191,135856,135856,603,603,2021-04-04
"2021-04-11","00-39","1","41",0.030516919244343,0.0414050100062108,0.0212283594394064,0.00866600369370649,0.00924711890138707,0.00510098928276999,2940,2940,148540,96340,610,610,3000,3000,96554,72455,670,670,2884,2884,135856,135856,693,693,2021-04-11
"2021-04-18","00-39","1","41",0.0317295923171076,0.0472017114070803,0.0243051466258391,0.00597667638483965,0.00607273480091091,0.00307678718643269,3370,3370,148540,106210,410,410,3420,3420,96554,72455,440,440,3302,3302,135856,135856,418,418,2021-04-18
"2021-04-25","00-39","1","41",0.0358723284059881,0.0529984128079498,0.027345130137793,0.00626815471640422,0.00579670140086951,0.00303998351195383,3810,3810,148540,106210,410,410,3840,3840,96554,72455,420,420,3715,3715,135856,135856,413,413,2021-04-25
"2021-05-02","00-39","1","41",0.0366108786610879,0.057967014008695,0.0295533506065246,0.00537790697674419,0.00483058450072459,0.0022082204687316,4200,4200,148540,114720,370,370,4200,4200,96554,72455,350,350,4015,4015,135856,135856,300,300,2021-05-02
"2021-05-09","00-39","1","41",0.0399301420973248,0.0518880626385235,0.035221116476269,0.0111172110897612,0.0110413360016562,0.00566776586974444,5030,5030,148540,125970,810,810,5010,5010,96554,96554,800,800,4785,4785,135856,135856,770,770,2021-05-09
"2021-05-16","00-39","1","41",0.0451544195953142,0.0646270480767239,0.0438773407136969,0.0113230035756853,0.0169760541025464,0.00865622423742786,6360,6360,148540,140850,1330,1330,6240,6240,96554,96554,1230,1230,5961,5961,135856,135856,1176,1176,2021-05-16
"2021-05-23","00-39","1","41",0.0661116892126257,0.0965262961658761,0.0658785773171593,0.0252949733311783,0.0318992480891522,0.0220012366034625,9530,9530,148540,144150,3130,3130,9320,9320,96554,96554,3080,3080,8950,8950,135856,135856,2989,2989,2021-05-23
"2021-05-30","00-39","1","41",0.100309680894035,0.151003583486961,0.108092391944412,0.0370757544079727,0.0543737183337821,0.0422138146272524,14900,14900,148540,148540,5320,5320,14580,14580,96554,96554,5250,5250,14685,14685,135856,135856,5735,5735,2021-05-30
"2021-06-06","00-39","1","41",0.136394237242494,0.204445180935021,0.142319809209752,0.0369508690296975,0.0535451664353626,0.0342274172653398,20260,20260,148540,148540,5400,5400,19740,19740,96554,96554,5170,5170,19335,19335,135856,135856,4650,4650,2021-06-06
