LocID,Location,VarID,Variant,Time,MidPeriod,AgeGrp,AgeGrpStart,AgeGrpSpan,PopMale,PopFemale,PopTotal
250,France,2,Medium,2020,2020.5,75,75,1,245.784,294.614,540.398
250,France,2,Medium,2020,2020.5,76,76,1,211.174,256.807,467.981
250,France,2,Medium,2020,2020.5,77,77,1,184.696,229.513,414.209
250,France,2,Medium,2020,2020.5,78,78,1,171.991,219.851,391.842
250,France,2,Medium,2020,2020.5,79,79,1,168.16,221.498,389.658
250,France,2,Medium,2020,2020.5,80,80,1,162.671,220.856,383.527
250,France,2,Medium,2020,2020.5,81,81,1,157.641,220.457,378.098
250,France,2,Medium,2020,2020.5,82,82,1,151.029,218.094,369.123
250,France,2,Medium,2020,2020.5,83,83,1,140.764,211.244,352.008
250,France,2,Medium,2020,2020.5,84,84,1,128.242,201.329,329.571
250,France,2,Medium,2020,2020.5,85,85,1,117.17,192.67,309.84
250,France,2,Medium,2020,2020.5,86,86,1,107.091,184.856,291.947
250,France,2,Medium,2020,2020.5,87,87,1,96.187,174.274,270.461
250,France,2,Medium,2020,2020.5,88,88,1,84.016,159.702,243.718
250,France,2,Medium,2020,2020.5,89,89,1,71.267,142.581,213.848
250,France,2,Medium,2020,2020.5,90,90,1,57.512,124.143,181.655
250,France,2,Medium,2020,2020.5,91,91,1,46.539,109.772,156.311
250,France,2,Medium,2020,2020.5,92,92,1,39.58,97.46,137.04
250,France,2,Medium,2020,2020.5,93,93,1,30.734,80.441,111.175
250,France,2,Medium,2020,2020.5,94,94,1,20.002,58.716,78.718
250,France,2,Medium,2020,2020.5,95,95,1,13.679,45.37,59.049
250,France,2,Medium,2020,2020.5,96,96,1,11.798,40.645,52.443
250,France,2,Medium,2020,2020.5,97,97,1,9.394,33.603,42.997
250,France,2,Medium,2020,2020.5,98,98,1,6.468,24.243,30.711
250,France,2,Medium,2020,2020.5,99,99,1,3.02,12.565,15.585
250,France,2,Medium,2020,2020.5,100,100,-1,2.993,16.45,19.443
1107,France (and dependencies),2,Medium,2020,2020.5,0,0,1,377.925,360.183,738.108
1107,France (and dependencies),2,Medium,2020,2020.5,1,1,1,385.805,368.706,754.511
1107,France (and dependencies),2,Medium,2020,2020.5,2,2,1,393.243,376.507,769.75
1107,France (and dependencies),2,Medium,2020,2020.5,3,3,1,400.196,383.578,783.774
1107,France (and dependencies),2,Medium,2020,2020.5,4,4,1,406.618,389.919,796.537
1107,France (and dependencies),2,Medium,2020,2020.5,5,5,1,412.467,395.522,807.989
1107,France (and dependencies),2,Medium,2020,2020.5,6,6,1,417.698,400.384,818.082
1107,France (and dependencies),2,Medium,2020,2020.5,7,7,1,422.265,404.505,826.77
1107,France (and dependencies),2,Medium,2020,2020.5,8,8,1,426.128,407.874,834.002
1107,France (and dependencies),2,Medium,2020,2020.5,9,9,1,429.241,410.494,839.735
1107,France (and dependencies),2,Medium,2020,2020.5,10,10,1,431.684,412.464,844.148
1107,France (and dependencies),2,Medium,2020,2020.5,11,11,1,433.54,413.887,847.427
1107,France (and dependencies),2,Medium,2020,2020.5,12,12,1,434.139,414.226,848.365
1107,France (and dependencies),2,Medium,2020,2020.5,13,13,1,433.185,413.255,846.44
1107,France (and dependencies),2,Medium,2020,2020.5,14,14,1,431.012,411.298,842.31
1107,France (and dependencies),2,Medium,2020,2020.5,15,15,1,428.436,409.076,837.512
1107,France (and dependencies),2,Medium,2020,2020.5,16,16,1,425.521,406.668,832.189
1107,France (and dependencies),2,Medium,2020,2020.5,17,17,1,421.676,403.659,825.335
1107,France (and dependencies),2,Medium,2020,2020.5,18,18,1,416.76,399.991,816.751
1107,France (and dependencies),2,Medium,2020,2020.5,19,19,1,411.185,396.01,807.195
1107,France (and dependencies),2,Medium,2020,2020.5,20,20,1,405.686,392.243,797.929
1107,France (and dependencies),2,Medium,2020,2020.5,21,21,1,400.345,388.726,789.071
1107,France (and dependencies),2,Medium,2020,2020.5,22,22,1,395.26,385.91,781.17
1107,France (and dependencies),2,Medium,2020,2020.5,23,23,1,390.633,384.122,774.755
1107,France (and dependencies),2,Medium,2020,2020.5,24,24,1,386.639,383.338,769.977
1107,France (and dependencies),2,Medium,2020,2020.5,25,25,1,382.925,382.806,765.731
1107,France (and dependencies),2,Medium,2020,2020.5,26,26,1,379.16,382.195,761.355
