"thedate","agcl","inj","dep","txEPCI","txRes","txSPF","txEPCIw","txResw","txSPFw","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","date"
"2021-01-03","00-39","1","45",NA,NA,3.05163674536838e-06,NA,NA,3.05163674536838e-06,0,0,300670,0,0,0,0,0,226002,0,0,0,1,1,327693,327693,1,1,2021-01-03
"2021-01-10","00-39","1","45",NA,0.000167155596787269,5.79810981619992e-05,NA,0.000167155596787269,5.49294614166308e-05,0,0,601340,0,0,0,20,20,452004,119649,20,20,19,19,327693,327693,18,18,2021-01-10
"2021-01-17","00-39","1","45",0.000754798361009273,0.00117008917751089,0.000415022597370099,0.000605473480261564,0.00100293358072362,0.0003570414992081,70,70,300670,92740,50,50,140,140,226002,119649,120,120,136,136,327693,327693,117,117,2021-01-17
"2021-01-24","00-39","1","45",0.00306328093510681,0.00296186167525219,0.0016021092913184,0.00235998910774258,0.00214880160753591,0.0011870866939483,380,380,300670,124050,260,260,510,510,226002,172189,370,370,525,525,327693,327693,389,389,2021-01-24
"2021-01-31","00-39","1","45",0.00381048242145373,0.00371684602384589,0.00197440897425334,0.000627667587245795,0.000754984348593696,0.000372299682934942,530,530,300670,139090,50,50,640,640,226002,172189,130,130,647,647,327693,327693,122,122,2021-01-31
"2021-02-07","00-39","1","45",0.00431375368466461,0.00429760321507181,0.00229177919577165,0.000726568176313877,0.000752200185542712,0.000317370221518311,600,600,300670,139090,60,60,740,740,226002,172189,90,90,751,751,327693,327693,104,104,2021-02-07
"2021-02-14","00-39","1","45",0.00709457198313366,0.00708523773295623,0.003860320482891,0.00281826233996296,0.00278763451788442,0.00156854128711935,1060,1060,300670,149410,350,350,1220,1220,226002,172189,480,480,1265,1265,327693,327693,514,514,2021-02-14
"2021-02-21","00-39","1","45",0.00910246971420922,0.00905981218312436,0.00494670316424214,0.0023031647189286,0.00209072588841331,0.00108638268135114,1360,1360,300670,149410,270,270,1560,1560,226002,172189,360,360,1621,1621,327693,327693,356,356,2021-02-21
"2021-02-28","00-39","1","45",0.0109095776721772,0.0109182351950473,0.00589271055530634,0.0021735192899837,0.00185842301192295,0.000946007391064197,1630,1630,300670,149410,240,240,1880,1880,226002,172189,320,320,1931,1931,327693,327693,310,310,2021-02-28
"2021-03-07","00-39","1","45",0.0135198447225755,0.0135897182746865,0.00727815363770358,0.00286806883365201,0.00267148307963923,0.00138544308239724,2020,2020,300670,149410,330,330,2340,2340,226002,172189,460,460,2385,2385,327693,327693,454,454,2021-03-07
"2021-03-14","00-39","1","45",0.0168663409410347,0.0128759922478562,0.00899012185185524,0.00351123595505618,0.00331031598998775,0.00171196821415166,2520,2520,300670,149410,450,450,2910,2910,226002,226002,570,570,2946,2946,327693,327693,561,561,2021-03-14
"2021-03-21","00-39","1","45",0.0178033598822033,0.0136281979805488,0.00940514444922534,0.000980071871937275,0.000987287225084065,0.000415022597370099,2660,2660,300670,149410,90,90,3080,3080,226002,226002,170,170,3082,3082,327693,327693,136,136,2021-03-21
"2021-03-28","00-39","1","45",0.0136384866884633,0.0148671250696896,0.0100826078066971,0.0018950728106922,0.00162612013543258,0.00067746335747178,2920,2920,300670,214100,190,190,3360,3360,226002,226002,280,280,3304,3304,327693,327693,222,222,2021-03-28
"2021-04-04","00-39","1","45",0.0169546940681924,0.0184954115450306,0.0122645280796355,0.00469030211063595,0.00476220896805255,0.00218192027293839,3630,3630,300670,214100,680,680,4180,4180,226002,226002,820,820,4019,4019,327693,327693,715,715,2021-04-04
"2021-04-11","00-39","1","45",0.0200373657169547,0.0217697188520456,0.0142175755966713,0.00437277944793659,0.00423952749594922,0.00195304751703576,4290,4290,300670,214100,640,640,4920,4920,226002,226002,730,730,4659,4659,327693,327693,640,640,2021-04-11
"2021-04-18","00-39","1","45",0.0240541802895843,0.0264156954363236,0.0173210901667109,0.00600082770037247,0.00603987478874957,0.00310351457003964,5150,5150,300670,214100,870,870,5970,5970,226002,226002,1040,1040,5676,5676,327693,327693,1017,1017,2021-04-18
"2021-04-25","00-39","1","45",0.0288183092013078,0.0314156511889275,0.0208854018853012,0.00686466797422247,0.0065625562608529,0.00356431171859027,6170,6170,300670,214100,980,980,7100,7100,226002,226002,1130,1130,6844,6844,327693,327693,1168,1168,2021-04-25
"2021-05-02","00-39","1","45",0.0325522020607276,0.0365483491296537,0.0242177892112434,0.00465400526513727,0.00673678341822068,0.00333238732594227,7140,7140,300670,219340,990,990,8260,8260,226002,226002,1160,1160,7936,7936,327693,327693,1092,1092,2021-05-02
"2021-05-09","00-39","1","45",0.0373692077727952,0.0461057866744542,0.0303546307061793,0.00854740775338627,0.0125443553304799,0.00613684149493581,9000,9000,300670,240840,1830,1830,10420,10420,226002,226002,2160,2160,9947,9947,327693,327693,2011,2011,2021-05-09
"2021-05-16","00-39","1","45",0.045487265622322,0.0676985159423368,0.0445905161233227,0.0160493827160494,0.0215927292678826,0.0142358854171435,13270,13270,300670,291730,4160,4160,15300,15300,226002,226002,4880,4880,14612,14612,327693,327693,4665,4665,2021-05-16
"2021-05-23","00-39","1","45",0.0686254846904666,0.104025628091787,0.0669956331078174,0.0252277505255781,0.0363713595454907,0.0224051169844946,20530,20530,300670,299160,7200,7200,23510,23510,226002,226002,8220,8220,21954,21954,327693,327693,7342,7342,2021-05-23
"2021-05-30","00-39","1","45",0.103389490573606,0.156857018964434,0.100783355152536,0.0354146935462048,0.0527428960805657,0.0337877220447187,30930,30930,300670,299160,10470,10470,35450,35450,226002,226002,11920,11920,33026,33026,327693,327693,11072,11072,2021-05-30
"2021-06-06","00-39","1","45",0.143645857584727,0.219201599985841,0.142734205491115,0.0409145607701564,0.0624773232095291,0.0419508503385791,43190,43190,300670,300670,12240,12240,49540,49540,226002,226002,14120,14120,46773,46773,327693,327693,13747,13747,2021-06-06
"2021-06-13","00-39","1","45",0.180297335949712,0.275440040353625,0.180309008736836,0.0368699023933681,0.0561941929717436,0.0375748032457208,54210,54210,300670,300670,11030,11030,62250,62250,226002,226002,12700,12700,59086,59086,327693,327693,12313,12313,2021-06-13
"2021-06-20","00-39","1","45",0.214620680480261,0.327032504137132,0.216092501213026,0.0342568264209931,0.0515482163874656,0.0357834924761896,64530,64530,300670,300670,10300,10300,73910,73910,226002,226002,11650,11650,70812,70812,327693,327693,11726,11726,2021-06-20
"2021-06-27","00-39","1","45",0.239199121960954,0.364288811603437,0.241778127698791,0.0247114776998038,0.0373005548623464,0.0256856264857656,71920,71920,300670,300670,7430,7430,82330,82330,226002,226002,8430,8430,79229,79229,327693,327693,8417,8417,2021-06-27
"2021-07-04","00-39","1","45",0.262413942195763,0.399465491455828,0.266410939507405,0.0232148202348089,0.0352209272484314,0.0246328118086135,78900,78900,300670,300670,6980,6980,90280,90280,226002,226002,7960,7960,87301,87301,327693,327693,8072,8072,2021-07-04
"2021-07-11","00-39","1","45",0.285296171882795,0.434509429120096,0.291614407387402,0.0229820068513653,0.0350881850603092,0.0252034678799974,85780,85780,300670,300670,6910,6910,98200,98200,226002,226002,7930,7930,95560,95560,327693,327693,8259,8259,2021-07-11
"2021-07-18","00-39","1","45",0.312901187348256,0.476278970982558,0.318246041264232,0.0276382745202381,0.0417695418624614,0.0266316338768298,94080,94080,300670,300670,8310,8310,107640,107640,226002,226002,9440,9440,104287,104287,327693,327693,8727,8727,2021-07-18
"2021-07-25","00-39","1","45",0.36009578607776,0.547827010380439,0.365494532992771,0.0472943758938371,0.0715922867939222,0.0472484917285386,108270,108270,300670,300670,14220,14220,123810,123810,226002,226002,16180,16180,119770,119770,327693,327693,15483,15483,2021-07-25
