"thedate","agcl","inj","dep","txEPCI","txRes","txSPF","txEPCIw","txResw","txSPFw","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","date"
"2021-01-03","00-39","1","71",NA,NA,4.51273720074911e-06,NA,NA,4.51273720074911e-06,0,0,229080,0,0,0,0,0,158535,0,0,0,1,1,221595,221595,1,1,2021-01-03
"2021-01-10","00-39","1","71",NA,0.000243276447190765,7.67165324127349e-05,NA,0.000243276447190765,7.22037952119858e-05,0,0,458160,0,0,0,20,20,317070,82211,20,20,17,17,221595,221595,16,16,2021-01-10
"2021-01-17","00-39","1","71",0.0019047619047619,0.00149892576986493,0.000843881856540084,0.00166666666666667,0.00133237846210216,0.000767165324127349,80,80,229080,42000,70,70,180,180,158535,120086,160,160,187,187,221595,221595,170,170,2021-01-17
"2021-01-24","00-39","1","71",0.00435113673447188,0.00416368269406925,0.00246395451160902,0.00292534519073251,0.00274803057808571,0.00162007265506893,400,400,229080,91930,250,250,500,500,158535,120086,330,330,546,546,221595,221595,359,359,2021-01-24
"2021-01-31","00-39","1","71",0.00501011658155892,0.00541278750229003,0.00323563257293711,0.00144277011862777,0.00124910480822078,0.000771678061328099,520,520,229080,103790,90,90,650,650,158535,120086,150,150,717,717,221595,221595,171,171,2021-01-31
"2021-02-07","00-39","1","71",0.00554631170271769,0.00582915577169695,0.00347029490737607,0.000554016620498615,0.00048655289438153,0.000234662334438954,600,600,229080,108180,10,10,700,700,158535,120086,40,40,769,769,221595,221595,52,52,2021-02-07
"2021-02-14","00-39","1","71",0.0076560135315588,0.00766117615708742,0.00436381687312439,0.00225225225225225,0.00191529403927186,0.000893521965748325,860,860,229080,112330,170,170,920,920,158535,120086,230,230,967,967,221595,221595,198,198,2021-02-14
"2021-02-21","00-39","1","71",0.00988159886050031,0.0099928384657662,0.00569507434734538,0.00286140831052501,0.00233166230867878,0.00133125747422099,1110,1110,229080,112330,230,230,1200,1200,158535,120086,280,280,1262,1262,221595,221595,295,295,2021-02-21
"2021-02-28","00-39","1","71",0.0122542537247642,0.0124077744283264,0.00705792098197161,0.00261259019656631,0.00241493596256017,0.00136284663462623,1390,1390,229080,113430,210,210,1490,1490,158535,120086,290,290,1564,1564,221595,221595,302,302,2021-02-28
"2021-03-07","00-39","1","71",0.017178552837064,0.0175707409689722,0.00982874162323157,0.00522121461940093,0.00516296654064587,0.00277082064125996,1980,1980,229080,115260,570,570,2110,2110,158535,120086,620,620,2178,2178,221595,221595,614,614,2021-03-07
"2021-03-14","00-39","1","71",0.0216900919659899,0.0221507919324484,0.0123468489812496,0.00479592835470295,0.00458005096347618,0.00251810735801801,2500,2500,229080,115260,490,490,2660,2660,158535,120086,550,550,2736,2736,221595,221595,558,558,2021-03-14
"2021-03-21","00-39","1","71",0.0246399444733646,0.0252319171260597,0.014138405649947,0.00325657129565015,0.00308112519361125,0.0017915566686974,2840,2840,229080,115260,280,280,3030,3030,158535,120086,370,370,3133,3133,221595,221595,397,397,2021-03-21
"2021-03-28","00-39","1","71",0.0257113967932977,0.031144346551638,0.0176673661409328,0.00615938595660002,0.00599570307945972,0.00352896049098581,3560,3560,229080,138460,650,650,3740,3740,158535,120086,720,720,3915,3915,221595,221595,782,782,2021-03-28
"2021-04-04","00-39","1","71",0.0314170157446194,0.0379727861699116,0.0212865813759336,0.00702490648663443,0.00682843961827357,0.00361921523500079,4350,4350,229080,138460,770,770,4560,4560,158535,120086,820,820,4717,4717,221595,221595,802,802,2021-04-04
