"thedate","agcl","inj","dep","txEPCI","txRes","txSPF","txEPCIw","txResw","txSPFw","date"
"2021-01-03","00-39","1","21",NA,NA,4.00084817981412e-06,NA,NA,4.00084817981412e-06,2021-01-03
"2021-01-10","00-39","1","21",0.00166894249734486,0.00123887743129696,0.00072815436872617,0.00166894249734486,0.00123887743129696,0.000724153520546356,2021-01-10
"2021-01-17","00-39","1","21",0.00593837535014006,0.00495550972518784,0.00269657167319472,0.00440426518312471,0.00378950743690835,0.00196841730446855,2021-01-17
"2021-01-24","00-39","1","21",0.00757575757575758,0.00750613973079922,0.00416888380336631,0.00251918012137868,0.00255063000561139,0.0014723121301716,2021-01-24
"2021-01-31","00-39","1","21",0.00944049887406894,0.00947376859227086,0.0051850992410391,0.00202839756592292,0.00189475371845417,0.00101621543767279,2021-01-31
"2021-02-07","00-39","1","21",0.009819827512595,0.0098381443073582,0.00535313486459129,0.000480076812289966,0.000433364752277874,0.000168035623552193,2021-02-07
"2021-02-14","00-39","1","21",0.0137796939724406,0.0134090263152141,0.00731755132088003,0.00431845864245377,0.00357088200785594,0.00196441645628873,2021-02-14
"2021-02-21","00-39","1","21",0.0176085862820728,0.0173442840381574,0.00955002460521631,0.0043965246519418,0.00393525772294328,0.00223247328433628,2021-02-21
"2021-02-28","00-39","1","21",0.0213818547710884,0.0209880411890308,0.0116904783814169,0.0040841972981464,0.00371663229389088,0.00214045377620055,2021-02-28
"2021-03-07","00-39","1","21",0.0266644306557102,0.026307926629306,0.0148031382653122,0.00576340724821725,0.00531988544027518,0.00311265988389539,2021-03-07
"2021-03-14","00-39","1","21",0.0319387839973384,0.0317006872125987,0.0179838125682645,0.0058252427184466,0.00539276058329265,0.00318067430295223,2021-03-14
"2021-03-21","00-39","1","21",0.027914515548085,0.0299261518154819,0.0220206683816969,0.00734618916437098,0.00655876287157214,0.00403685581343245,2021-03-21
"2021-03-28","00-39","1","21",0.0332572937927722,0.0356724281146524,0.026301575934098,0.00764407798677317,0.00736038944476429,0.00428090755240111,2021-03-28
"2021-04-04","00-39","1","21",0.0383599471725297,0.0409635538158688,0.0302104046057764,0.00723774622079707,0.00685026344364201,0.0039088286716784,2021-04-04
