CODGEO;NBMENFISC18;NBPERSMENFISC18;MED18;PIMP18;TP6018;TP60AGE118;TP60AGE218;TP60AGE318;TP60AGE418;TP60AGE518;TP60AGE618;TP60TOL118;TP60TOL218;PACT18;PTSA18;PCHO18;PBEN18;PPEN18;PPAT18;PPSOC18;PPFAM18;PPMINI18;PPLOGT18;PIMPOT18;D118;D918;RD18
200068500;34243;78398;19910;43.7;17.1;30.7;20.3;18.8;18.3;10.2;9.4;7.4;35.1;69.9;60.6;3.3;6;30.1;8.4;7.5;2.6;3.2;1.7;-15.9;11160;34170;3.1
200068534;15158;37584;21420;47.5;9.6;11.8;10.4;10;9.2;8;9.9;5.7;22.4;74.8;65.7;2.6;6.5;27.7;7.8;4.8;2.4;1.6;0.8;-15.1;13120;34010;2.6
200068542;30024;76195;23350;55.2;7.2;9.5;8.1;7.5;6.8;6;5.9;5;16.8;78.2;71.4;2.8;4;25;9.2;4.1;2.3;1.1;0.7;-16.5;14170;37730;2.7
200068559;10273;22393;19870;40.2;16;22.4;20.4;19.9;16;10.3;11.5;9.2;32.9;66.3;57.3;2.8;6.2;34.3;8.4;5.8;2.1;2.4;1.3;-14.8;11340;32300;2.8
200068567;25063;61467;22000;50.4;10.6;16.7;12.4;11.8;9.6;7.6;7.9;6;24.5;74.9;67.8;2.8;4.3;27.2;8.7;4.7;2.5;1.3;0.9;-15.5;12850;35740;2.8
200068625;5066;9843;19490;42;19.7;;25.3;21.4;23.6;15.8;14.7;14.1;31;57.9;45.5;4.1;8.3;40;11.9;5.1;1.6;2.3;1.2;-14.9;10200;32290;3.2
200068641;50218;123384;23200;55.6;10.2;18.1;11.7;10.5;9.6;6.8;8.7;5;22.2;79.8;72.8;3;4;24.3;8;5.3;2.3;1.8;1.2;-17.4;12970;38260;3
200068658;20184;42124;21010;48.7;13.1;22.8;16.6;14.8;12.6;8.3;9.2;5;27.2;67.9;60.2;2.3;5.4;34.2;8.3;5.9;2;2.5;1.4;-16.3;11990;34290;2.9
200068666;24969;54556;19270;42.4;17.6;25;21.6;23.3;17.8;11;9.6;8.7;33.7;63.7;56.3;3.2;4.2;35.7;7.2;7.7;2.6;3.3;1.8;-14.3;11140;31560;2.8
200068674;33915;74851;24390;59.5;8.7;13.5;9.2;10;9.7;6.3;6;5;17.5;73.2;65;2.7;5.5;29.9;12.7;3.2;1.5;1;0.7;-19;13610;43310;3.2
200068682;8232;17644;21550;50.7;12.1;20.8;13.9;14.6;12;9;;6.2;27.1;67.4;59.7;3.1;4.6;35.1;9.1;4.7;1.8;1.8;1.1;-16.3;12280;34590;2.8
200068757;49314;106881;20590;46;15.9;27.6;19.2;19.2;15.8;9.7;8.3;6.6;32.7;69.4;61.6;2.9;4.9;31.9;8.4;6.6;2.3;2.7;1.6;-16.3;11320;34570;3.1
200068765;11309;23042;19700;41.2;19.1;26.2;27.1;24.1;20.3;13.4;12;11.4;32.4;57.2;47.3;3.3;6.6;40.2;10.9;6.4;1.9;2.9;1.6;-14.7;10480;33960;3.2
200068773;5371;11428;19690;39.1;16.6;;24.2;18;16.9;12;13.3;11.9;35.9;61.2;51.4;2.8;7;38.5;8.5;5.4;2;2.3;1.1;-13.6;11170;30820;2.8
200068781;96019;216309;21210;48.5;15;21.7;17.2;18.2;15.1;10.3;9.2;6.2;30.3;70.4;62;3.2;5.2;29.7;10.6;6.3;2.4;2.3;1.6;-17;11480;36890;3.2
200068799;20463;45421;19970;40.1;14.1;18.8;14.9;16.8;15.4;10;11.3;8.1;26.8;66;57.1;2.7;6.2;33.1;8.6;6.5;2.5;2.5;1.5;-14.2;11800;31520;2.7
200068807;13220;32720;22400;51.4;10.3;16.7;9.8;10;10.5;8.1;12.7;6.2;22.4;78.2;70.3;3.1;4.8;23.9;9.3;5.2;2.4;1.8;1;-16.6;12920;36470;2.8
200068815;14190;34114;21620;46.6;12.2;17.9;13;12.2;12;9.4;13.7;7.6;26;74.2;66;3.2;5;27.4;8.2;5.8;2.5;2.2;1.1;-15.6;12290;35250;2.9
200068831;7440;17180;21090;43.2;11.6;;11.1;10.8;12.7;8.2;15.8;8.4;25.8;67.6;55.7;2;9.9;31.6;10.5;4.6;2.2;1.5;0.9;-14.3;12480;33540;2.7
200068856;3692;7832;19620;41.3;17.1;;21.1;23.6;19.6;10.4;;11.6;33.9;58.8;49.3;3;6.5;41.6;9.2;5.4;2.2;2;1.2;-15;11040;32380;2.9
200068864;10188;24755;24340;58.8;6.9;;8.6;7.4;7;5;;5;15.8;78.1;70.1;2.4;5.6;26.9;9.6;3;1.6;0.9;0.5;-17.6;14530;39790;2.7
200068872;9202;18660;19910;40.9;14.9;28.7;18;16.4;15.3;11.1;11.4;9.3;31.2;58.9;51.4;2.7;4.8;41.3;8.7;5.7;1.8;2.6;1.3;-14.6;11740;32490;2.8
200068880;4240;9471;21040;44.4;10.9;;;12.4;;;;7;27.1;70.5;60.5;2.5;7.5;30.1;9.7;4.3;2;1.5;0.8;-14.6;12700;32790;2.6
200068914;9675;20918;20230;40.5;13.4;18.7;14.7;13.5;13.3;10.8;14.8;9.6;27.5;63.9;56.3;2.7;4.9;36.3;8.7;5.3;1.9;2.2;1.2;-14.2;12160;32130;2.6
200068922;7244;17006;19700;39;18.8;;20.2;19.8;18.4;17.3;18.2;13.3;33.7;67;54;3.7;9.3;32.1;9.9;6.1;2.3;2.5;1.3;-15.1;10780;33880;3.1
200068930;10771;23114;18980;36.4;18.2;25.8;21.8;20.4;20.2;13.5;16.2;12.8;33.8;55.4;45.6;4;5.8;42.7;9.6;6.4;2.1;2.8;1.5;-14.1;10810;30990;2.9
200068948;11464;25006;20040;40.2;15.9;23.1;17.3;19.1;15.8;12.1;14.3;10.5;30.7;62.3;51;3.3;8;36.3;11.1;5.4;2;2.1;1.3;-15.1;11340;33950;3
200068955;11119;27775;21060;43.5;8.5;;8.4;8.9;9.4;6.7;;5.1;19.3;74.7;67.2;2.8;4.7;26.7;7.9;5.2;2.9;1.4;0.9;-14.5;13450;32090;2.4
200068963;8498;21655;22680;53.4;7.3;;7;8.5;8.1;5.2;;5;20.4;76.5;69.5;2.1;4.9;27.1;8.8;3.9;2.4;0.9;0.6;-16.3;14250;35040;2.5
200068989;43180;95933;21460;46.7;10.4;15.8;11.1;12.1;10.7;7;10.2;6.5;23.3;65.1;55.7;3;6.4;36.2;9.5;4.9;2.1;1.7;1.1;-15.7;12890;34800;2.7
200068997;26703;59758;22400;54.2;11.1;15.4;14.3;13.3;9.6;7.8;8;5;22;72;63.1;2.8;6.1;29.3;11.2;4.3;2;1.4;0.9;-16.8;12660;36350;2.9
200069003;8046;17769;21950;51.3;12;;14.4;12.5;12.6;9.4;;5.8;29.5;69.8;44.6;2.2;23;26.3;19.5;4.1;1.6;1.6;0.9;-19.7;12320;46690;3.8
200069029;31244;67855;20550;48.2;14.4;20.7;17.8;18.5;15.5;8.6;9.9;6.8;27.9;62.5;52.9;2.9;6.7;37.8;12.4;5.6;2;2.3;1.3;-18.3;11800;37110;3.1
200069037;42998;102483;19390;41.1;17.9;29.6;21.2;20.1;16.8;11.1;11.7;8;36.7;70.8;62.8;2.8;5.2;28.4;8.2;7.8;3;3;1.8;-15.2;11040;32410;2.9
200069052;43321;95789;21420;51.2;16.2;24.9;19.9;19.5;15.4;10.2;8.4;5.2;31.1;75.2;68.1;3.1;4;28.3;7.7;6.3;2.3;2.4;1.6;-17.5;11170;37940;3.4
200069060;6407;14874;22910;55.1;8.6;;9.6;10.1;8.2;;;5;23.4;74.4;67.8;2.8;3.8;31.2;7.4;3.7;1.8;1.2;0.7;-16.7;13630;36660;2.7
200069086;13288;30845;20960;43.8;10.6;12.4;10.1;11.8;11.2;8.1;11.3;7.4;24;67.5;57.4;3;7.1;34;8;5;2.5;1.5;1;-14.5;12900;32370;2.5
200069094;6476;13749;19720;39.3;17;;19.1;17.5;20;13;15.2;12.2;31.4;57.7;49.3;3.2;5.2;41.6;9.1;5.8;2;2.5;1.3;-14.2;11020;32350;2.9
200069102;2143;4779;20460;38.6;13.9;;;;;;;11.2;24;68.5;54.8;2.1;11.6;31.3;9.3;5;2.2;1.9;0.9;-14.1;11910;31940;2.7
200069110;58589;128328;23040;56.6;11.7;19.5;13.9;14;11.5;7.4;6.5;5;23.1;72.8;64.6;2.7;5.5;29.7;10.9;4.9;1.9;1.8;1.2;-18.3;12410;39900;3.2
200069128;2427;5207;19490;38;15.7;;;18.1;;;;11.4;26.1;63.1;51.5;2.6;9;34.9;9.6;5.8;2.2;2.4;1.2;-13.4;11190;31790;2.8
200069136;2240;4464;16600;31.9;31.5;;45.2;44.3;35;21.4;;24;49.1;47.6;36.1;3.5;8;47.1;9.6;8.2;1.9;4.5;1.8;-12.5;8260;31480;3.8
200069144;2196;4595;19450;38.3;17;;;21.2;;;;14.8;23.5;60;45;1.9;13.1;33.9;15.5;5.2;1.9;2.3;1;-14.6;11340;32590;2.9
200069151;3159;6378;19270;38.4;18.2;;22.7;19.9;17.5;12.6;;12.1;30.2;60.4;46.7;3.5;10.2;36.4;10.7;6.2;2;2.7;1.5;-13.7;10930;32760;3
200069169;5410;11893;20810;42.8;13;;13.5;11.3;12.6;11.9;18.6;10.2;24.9;69.5;55.1;2.6;11.8;29.6;11.4;4.2;1.9;1.6;0.7;-14.7;12050;33200;2.8
200069177;17261;41154;24820;61.3;6.2;;6.6;6.5;5.7;5;8;5;18;76.6;69.1;2.1;5.4;28.8;10.1;2.9;1.5;0.9;0.5;-18.4;14900;40460;2.7
200069185;4623;9616;20700;44.1;12.9;;16;11.7;13.4;9.3;14.9;9.5;22.8;62.6;52.4;2;8.2;36.3;10.9;5.4;1.8;2.5;1.1;-15.2;12040;32730;2.7
200069193;15624;38218;23600;55.5;6.9;10.8;8.1;7.1;6.8;5;;5;15.7;77;69.5;2.5;5;25.6;10.5;3.9;2.1;1;0.8;-17;14500;38240;2.6
200069227;8492;17618;21710;49.8;12.3;;14;15.4;11.7;10.1;9.6;8.2;26.3;65.2;48.2;2.3;14.7;35.4;12.7;4.4;1.6;1.9;0.9;-17.7;12250;39090;3.2
200069235;6146;15313;18840;36;18.7;24.9;20.8;19.3;18.7;13.6;18.6;11.9;35.3;68.1;56.5;2.6;9;27.8;9.9;7.9;3.5;2.8;1.6;-13.7;11130;31040;2.8
200069250;72712;157067;20220;47;17.8;30.8;22.8;20.7;16.6;11.1;7.8;5.1;34.6;69.5;60.4;3.2;5.9;30.7;8.8;7.7;2.5;3.1;2.1;-16.7;10770;35420;3.3
200069268;3267;7419;20920;43.7;11.2;;;12.5;;;;7.7;21.4;67.4;56;2.6;8.8;32.1;10.4;4.9;2.4;1.6;0.9;-14.8;12630;32650;2.6
