COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code géographique;01044;Billiat;CHAR;5
CODGEO;Code géographique;Code géographique;01045;Birieux;CHAR;5
CODGEO;Code géographique;Code géographique;01046;Biziat;CHAR;5
CODGEO;Code géographique;Code géographique;01047;Blyes;CHAR;5
CODGEO;Code géographique;Code géographique;01049;La Boisse;CHAR;5
CODGEO;Code géographique;Code géographique;01050;Boissey;CHAR;5
CODGEO;Code géographique;Code géographique;01051;Bolozon;CHAR;5
CODGEO;Code géographique;Code géographique;01052;Bouligneux;CHAR;5
CODGEO;Code géographique;Code géographique;01053;Bourg-en-Bresse;CHAR;5
CODGEO;Code géographique;Code géographique;01054;Bourg-Saint-Christophe;CHAR;5
CODGEO;Code géographique;Code géographique;01056;Boyeux-Saint-Jérôme;CHAR;5
CODGEO;Code géographique;Code géographique;01057;Boz;CHAR;5
CODGEO;Code géographique;Code géographique;01058;Brégnier-Cordon;CHAR;5
CODGEO;Code géographique;Code géographique;01060;Brénod;CHAR;5
CODGEO;Code géographique;Code géographique;01061;Brens;CHAR;5
CODGEO;Code géographique;Code géographique;01062;Bressolles;CHAR;5
CODGEO;Code géographique;Code géographique;01063;Brion;CHAR;5
CODGEO;Code géographique;Code géographique;01064;Briord;CHAR;5
CODGEO;Code géographique;Code géographique;01065;Buellas;CHAR;5
CODGEO;Code géographique;Code géographique;01066;La Burbanche;CHAR;5
CODGEO;Code géographique;Code géographique;01067;Ceignes;CHAR;5
CODGEO;Code géographique;Code géographique;01068;Cerdon;CHAR;5
CODGEO;Code géographique;Code géographique;01069;Certines;CHAR;5
CODGEO;Code géographique;Code géographique;01071;Cessy;CHAR;5
CODGEO;Code géographique;Code géographique;01072;Ceyzériat;CHAR;5
CODGEO;Code géographique;Code géographique;01073;Ceyzérieu;CHAR;5
CODGEO;Code géographique;Code géographique;01074;Chalamont;CHAR;5
CODGEO;Code géographique;Code géographique;01075;Chaleins;CHAR;5
CODGEO;Code géographique;Code géographique;01076;Chaley;CHAR;5
CODGEO;Code géographique;Code géographique;01077;Challes-la-Montagne;CHAR;5
CODGEO;Code géographique;Code géographique;01078;Challex;CHAR;5
CODGEO;Code géographique;Code géographique;01079;Champagne-en-Valromey;CHAR;5
CODGEO;Code géographique;Code géographique;01080;Champdor-Corcelles;CHAR;5
CODGEO;Code géographique;Code géographique;01081;Champfromier;CHAR;5
CODGEO;Code géographique;Code géographique;01082;Chanay;CHAR;5
CODGEO;Code géographique;Code géographique;01083;Chaneins;CHAR;5
CODGEO;Code géographique;Code géographique;01084;Chanoz-Châtenay;CHAR;5
CODGEO;Code géographique;Code géographique;01085;La Chapelle-du-Châtelard;CHAR;5
CODGEO;Code géographique;Code géographique;01087;Charix;CHAR;5
CODGEO;Code géographique;Code géographique;01088;Charnoz-sur-Ain;CHAR;5
CODGEO;Code géographique;Code géographique;01089;Château-Gaillard;CHAR;5
CODGEO;Code géographique;Code géographique;01090;Châtenay;CHAR;5
CODGEO;Code géographique;Code géographique;01092;Châtillon-la-Palud;CHAR;5
CODGEO;Code géographique;Code géographique;01093;Châtillon-sur-Chalaronne;CHAR;5
CODGEO;Code géographique;Code géographique;01094;Chavannes-sur-Reyssouze;CHAR;5
CODGEO;Code géographique;Code géographique;01095;Nivigne et Suran;CHAR;5
CODGEO;Code géographique;Code géographique;01096;Chaveyriat;CHAR;5
CODGEO;Code géographique;Code géographique;01098;Chazey-Bons;CHAR;5
CODGEO;Code géographique;Code géographique;01099;Chazey-sur-Ain;CHAR;5
CODGEO;Code géographique;Code géographique;01100;Cheignieu-la-Balme;CHAR;5
CODGEO;Code géographique;Code géographique;01101;Chevillard;CHAR;5
CODGEO;Code géographique;Code géographique;01102;Chevroux;CHAR;5
CODGEO;Code géographique;Code géographique;01103;Chevry;CHAR;5
CODGEO;Code géographique;Code géographique;01104;Chézery-Forens;CHAR;5
CODGEO;Code géographique;Code géographique;01105;Civrieux;CHAR;5
CODGEO;Code géographique;Code géographique;01106;Cize;CHAR;5
CODGEO;Code géographique;Code géographique;01107;Cleyzieu;CHAR;5
CODGEO;Code géographique;Code géographique;01108;Coligny;CHAR;5
CODGEO;Code géographique;Code géographique;01109;Collonges;CHAR;5
CODGEO;Code géographique;Code géographique;01110;Colomieu;CHAR;5
CODGEO;Code géographique;Code géographique;01111;Conand;CHAR;5
CODGEO;Code géographique;Code géographique;01112;Condamine;CHAR;5
CODGEO;Code géographique;Code géographique;01113;Condeissiat;CHAR;5
CODGEO;Code géographique;Code géographique;01114;Confort;CHAR;5
CODGEO;Code géographique;Code géographique;01115;Confrançon;CHAR;5
CODGEO;Code géographique;Code géographique;01116;Contrevoz;CHAR;5
CODGEO;Code géographique;Code géographique;01117;Conzieu;CHAR;5
CODGEO;Code géographique;Code géographique;01118;Corbonod;CHAR;5
CODGEO;Code géographique;Code géographique;01121;Corlier;CHAR;5
CODGEO;Code géographique;Code géographique;01123;Cormoranche-sur-Saône;CHAR;5
CODGEO;Code géographique;Code géographique;01124;Cormoz;CHAR;5
CODGEO;Code géographique;Code géographique;01125;Corveissiat;CHAR;5
CODGEO;Code géographique;Code géographique;01127;Courmangoux;CHAR;5
CODGEO;Code géographique;Code géographique;01128;Courtes;CHAR;5
CODGEO;Code géographique;Code géographique;01129;Crans;CHAR;5
CODGEO;Code géographique;Code géographique;01130;Bresse Vallons;CHAR;5
CODGEO;Code géographique;Code géographique;01133;Cressin-Rochefort;CHAR;5
CODGEO;Code géographique;Code géographique;01134;Crottet;CHAR;5
CODGEO;Code géographique;Code géographique;01135;Crozet;CHAR;5
CODGEO;Code géographique;Code géographique;01136;Cruzilles-lès-Mépillat;CHAR;5
CODGEO;Code géographique;Code géographique;01138;Culoz;CHAR;5
CODGEO;Code géographique;Code géographique;01139;Curciat-Dongalon;CHAR;5
CODGEO;Code géographique;Code géographique;01140;Curtafond;CHAR;5
CODGEO;Code géographique;Code géographique;01141;Cuzieu;CHAR;5
CODGEO;Code géographique;Code géographique;01142;Dagneux;CHAR;5
CODGEO;Code géographique;Code géographique;01143;Divonne-les-Bains;CHAR;5
CODGEO;Code géographique;Code géographique;01145;Dompierre-sur-Veyle;CHAR;5
CODGEO;Code géographique;Code géographique;01146;Dompierre-sur-Chalaronne;CHAR;5
CODGEO;Code géographique;Code géographique;01147;Domsure;CHAR;5
CODGEO;Code géographique;Code géographique;01148;Dortan;CHAR;5
CODGEO;Code géographique;Code géographique;01149;Douvres;CHAR;5
CODGEO;Code géographique;Code géographique;01150;Drom;CHAR;5
CODGEO;Code géographique;Code géographique;01151;Druillat;CHAR;5
CODGEO;Code géographique;Code géographique;01152;Échallon;CHAR;5
CODGEO;Code géographique;Code géographique;01153;Échenevex;CHAR;5
CODGEO;Code géographique;Code géographique;01155;Évosges;CHAR;5
CODGEO;Code géographique;Code géographique;01156;Faramans;CHAR;5
CODGEO;Code géographique;Code géographique;01157;Fareins;CHAR;5
CODGEO;Code géographique;Code géographique;01158;Farges;CHAR;5
CODGEO;Code géographique;Code géographique;01159;Feillens;CHAR;5
CODGEO;Code géographique;Code géographique;01160;Ferney-Voltaire;CHAR;5
CODGEO;Code géographique;Code géographique;01162;Flaxieu;CHAR;5
CODGEO;Code géographique;Code géographique;01163;Foissiat;CHAR;5
CODGEO;Code géographique;Code géographique;01165;Francheleins;CHAR;5
CODGEO;Code géographique;Code géographique;01166;Frans;CHAR;5
CODGEO;Code géographique;Code géographique;01167;Garnerans;CHAR;5
CODGEO;Code géographique;Code géographique;01169;Genouilleux;CHAR;5
CODGEO;Code géographique;Code géographique;01170;Béard-Géovreissiat;CHAR;5
CODGEO;Code géographique;Code géographique;01171;Géovreisset;CHAR;5
CODGEO;Code géographique;Code géographique;01173;Gex;CHAR;5
CODGEO;Code géographique;Code géographique;01174;Giron;CHAR;5
CODGEO;Code géographique;Code géographique;01175;Gorrevod;CHAR;5
CODGEO;Code géographique;Code géographique;01177;Grand-Corent;CHAR;5
CODGEO;Code géographique;Code géographique;01179;Grièges;CHAR;5
CODGEO;Code géographique;Code géographique;01180;Grilly;CHAR;5
CODGEO;Code géographique;Code géographique;01181;Groissiat;CHAR;5
CODGEO;Code géographique;Code géographique;01183;Guéreins;CHAR;5
CODGEO;Code géographique;Code géographique;01184;Hautecourt-Romanèche;CHAR;5
CODGEO;Code géographique;Code géographique;01185;Plateau d'Hauteville;CHAR;5
CODGEO;Code géographique;Code géographique;01187;Haut Valromey;CHAR;5
CODGEO;Code géographique;Code géographique;01188;Illiat;CHAR;5
CODGEO;Code géographique;Code géographique;01189;Injoux-Génissiat;CHAR;5
CODGEO;Code géographique;Code géographique;01190;Innimond;CHAR;5
CODGEO;Code géographique;Code géographique;01191;Izenave;CHAR;5
CODGEO;Code géographique;Code géographique;01192;Izernore;CHAR;5
CODGEO;Code géographique;Code géographique;01193;Izieu;CHAR;5
CODGEO;Code géographique;Code géographique;01194;Jassans-Riottier;CHAR;5
CODGEO;Code géographique;Code géographique;01195;Jasseron;CHAR;5
CODGEO;Code géographique;Code géographique;01196;Jayat;CHAR;5
CODGEO;Code géographique;Code géographique;01197;Journans;CHAR;5
CODGEO;Code géographique;Code géographique;01198;Joyeux;CHAR;5
CODGEO;Code géographique;Code géographique;01199;Jujurieux;CHAR;5
CODGEO;Code géographique;Code géographique;01200;Labalme;CHAR;5
CODGEO;Code géographique;Code géographique;01202;Lagnieu;CHAR;5
CODGEO;Code géographique;Code géographique;01203;Laiz;CHAR;5
CODGEO;Code géographique;Code géographique;01204;Le Poizat-Lalleyriat;CHAR;5
CODGEO;Code géographique;Code géographique;01206;Lantenay;CHAR;5
CODGEO;Code géographique;Code géographique;01207;Lapeyrouse;CHAR;5
CODGEO;Code géographique;Code géographique;01208;Lavours;CHAR;5
CODGEO;Code géographique;Code géographique;01209;Léaz;CHAR;5
CODGEO;Code géographique;Code géographique;01210;Lélex;CHAR;5
CODGEO;Code géographique;Code géographique;01211;Lent;CHAR;5
CODGEO;Code géographique;Code géographique;01212;Lescheroux;CHAR;5
CODGEO;Code géographique;Code géographique;01213;Leyment;CHAR;5
CODGEO;Code géographique;Code géographique;01214;Leyssard;CHAR;5
CODGEO;Code géographique;Code géographique;01215;Surjoux-Lhopital;CHAR;5
CODGEO;Code géographique;Code géographique;01216;Lhuis;CHAR;5
CODGEO;Code géographique;Code géographique;01219;Lompnas;CHAR;5
CODGEO;Code géographique;Code géographique;01224;Loyettes;CHAR;5
CODGEO;Code géographique;Code géographique;01225;Lurcy;CHAR;5
CODGEO;Code géographique;Code géographique;01227;Magnieu;CHAR;5
CODGEO;Code géographique;Code géographique;01228;Maillat;CHAR;5
CODGEO;Code géographique;Code géographique;01229;Malafretaz;CHAR;5
CODGEO;Code géographique;Code géographique;01230;Mantenay-Montlin;CHAR;5
CODGEO;Code géographique;Code géographique;01231;Manziat;CHAR;5
CODGEO;Code géographique;Code géographique;01232;Marboz;CHAR;5
CODGEO;Code géographique;Code géographique;01233;Marchamp;CHAR;5
CODGEO;Code géographique;Code géographique;01234;Marignieu;CHAR;5
CODGEO;Code géographique;Code géographique;01235;Marlieux;CHAR;5
CODGEO;Code géographique;Code géographique;01236;Marsonnas;CHAR;5
CODGEO;Code géographique;Code géographique;01237;Martignat;CHAR;5
CODGEO;Code géographique;Code géographique;01238;Massieux;CHAR;5
CODGEO;Code géographique;Code géographique;01239;Massignieu-de-Rives;CHAR;5
CODGEO;Code géographique;Code géographique;01240;Matafelon-Granges;CHAR;5
CODGEO;Code géographique;Code géographique;01241;Meillonnas;CHAR;5
CODGEO;Code géographique;Code géographique;01242;Mérignat;CHAR;5
CODGEO;Code géographique;Code géographique;01243;Messimy-sur-Saône;CHAR;5
CODGEO;Code géographique;Code géographique;01244;Meximieux;CHAR;5
CODGEO;Code géographique;Code géographique;01245;Bohas-Meyriat-Rignat;CHAR;5
CODGEO;Code géographique;Code géographique;01246;Mézériat;CHAR;5
CODGEO;Code géographique;Code géographique;01247;Mijoux;CHAR;5
CODGEO;Code géographique;Code géographique;01248;Mionnay;CHAR;5
CODGEO;Code géographique;Code géographique;01249;Miribel;CHAR;5
CODGEO;Code géographique;Code géographique;01250;Misérieux;CHAR;5
CODGEO;Code géographique;Code géographique;01252;Mogneneins;CHAR;5
CODGEO;Code géographique;Code géographique;01254;Montagnat;CHAR;5
CODGEO;Code géographique;Code géographique;01255;Montagnieu;CHAR;5
CODGEO;Code géographique;Code géographique;01257;Montanges;CHAR;5
CODGEO;Code géographique;Code géographique;01258;Montceaux;CHAR;5
CODGEO;Code géographique;Code géographique;01259;Montcet;CHAR;5
CODGEO;Code géographique;Code géographique;01260;Le Montellier;CHAR;5
CODGEO;Code géographique;Code géographique;01261;Monthieux;CHAR;5
CODGEO;Code géographique;Code géographique;01262;Montluel;CHAR;5
CODGEO;Code géographique;Code géographique;01263;Montmerle-sur-Saône;CHAR;5
CODGEO;Code géographique;Code géographique;01264;Montracol;CHAR;5
CODGEO;Code géographique;Code géographique;01265;Montréal-la-Cluse;CHAR;5
CODGEO;Code géographique;Code géographique;01266;Montrevel-en-Bresse;CHAR;5
CODGEO;Code géographique;Code géographique;01267;Nurieux-Volognat;CHAR;5
CODGEO;Code géographique;Code géographique;01268;Murs-et-Gélignieux;CHAR;5
CODGEO;Code géographique;Code géographique;01269;Nantua;CHAR;5
CODGEO;Code géographique;Code géographique;01272;Neuville-les-Dames;CHAR;5
CODGEO;Code géographique;Code géographique;01273;Neuville-sur-Ain;CHAR;5
CODGEO;Code géographique;Code géographique;01274;Les Neyrolles;CHAR;5
CODGEO;Code géographique;Code géographique;01275;Neyron;CHAR;5
CODGEO;Code géographique;Code géographique;01276;Niévroz;CHAR;5
CODGEO;Code géographique;Code géographique;01277;Nivollet-Montgriffon;CHAR;5
CODGEO;Code géographique;Code géographique;01279;Oncieu;CHAR;5
CODGEO;Code géographique;Code géographique;01280;Ordonnaz;CHAR;5
CODGEO;Code géographique;Code géographique;01281;Ornex;CHAR;5
CODGEO;Code géographique;Code géographique;01282;Outriaz;CHAR;5
CODGEO;Code géographique;Code géographique;01283;Oyonnax;CHAR;5
CODGEO;Code géographique;Code géographique;01284;Ozan;CHAR;5
CODGEO;Code géographique;Code géographique;01285;Parcieux;CHAR;5
CODGEO;Code géographique;Code géographique;01286;Parves et Nattages;CHAR;5
CODGEO;Code géographique;Code géographique;01288;Péron;CHAR;5
CODGEO;Code géographique;Code géographique;01289;Péronnas;CHAR;5
CODGEO;Code géographique;Code géographique;01290;Pérouges;CHAR;5
CODGEO;Code géographique;Code géographique;01291;Perrex;CHAR;5
CODGEO;Code géographique;Code géographique;01293;Peyriat;CHAR;5
CODGEO;Code géographique;Code géographique;01294;Peyrieu;CHAR;5
CODGEO;Code géographique;Code géographique;01295;Peyzieux-sur-Saône;CHAR;5
CODGEO;Code géographique;Code géographique;01296;Pirajoux;CHAR;5
CODGEO;Code géographique;Code géographique;01297;Pizay;CHAR;5
CODGEO;Code géographique;Code géographique;01298;Plagne;CHAR;5
CODGEO;Code géographique;Code géographique;01299;Le Plantay;CHAR;5
CODGEO;Code géographique;Code géographique;01301;Polliat;CHAR;5
CODGEO;Code géographique;Code géographique;01302;Pollieu;CHAR;5
CODGEO;Code géographique;Code géographique;01303;Poncin;CHAR;5
CODGEO;Code géographique;Code géographique;01304;Pont-d'Ain;CHAR;5
CODGEO;Code géographique;Code géographique;01305;Pont-de-Vaux;CHAR;5
CODGEO;Code géographique;Code géographique;01306;Pont-de-Veyle;CHAR;5
CODGEO;Code géographique;Code géographique;01307;Port;CHAR;5
CODGEO;Code géographique;Code géographique;01308;Pougny;CHAR;5
CODGEO;Code géographique;Code géographique;01309;Pouillat;CHAR;5
CODGEO;Code géographique;Code géographique;01310;Prémeyzel;CHAR;5
CODGEO;Code géographique;Code géographique;01311;Prémillieu;CHAR;5
CODGEO;Code géographique;Code géographique;01313;Prévessin-Moëns;CHAR;5
CODGEO;Code géographique;Code géographique;01314;Priay;CHAR;5
CODGEO;Code géographique;Code géographique;01317;Ramasse;CHAR;5
CODGEO;Code géographique;Code géographique;01318;Rancé;CHAR;5
CODGEO;Code géographique;Code géographique;01319;Relevant;CHAR;5
CODGEO;Code géographique;Code géographique;01320;Replonges;CHAR;5
CODGEO;Code géographique;Code géographique;01321;Revonnas;CHAR;5
CODGEO;Code géographique;Code géographique;01322;Reyrieux;CHAR;5
CODGEO;Code géographique;Code géographique;01323;Reyssouze;CHAR;5
CODGEO;Code géographique;Code géographique;01325;Rignieux-le-Franc;CHAR;5
CODGEO;Code géographique;Code géographique;01328;Romans;CHAR;5
CODGEO;Code géographique;Code géographique;01329;Rossillon;CHAR;5
CODGEO;Code géographique;Code géographique;01330;Ruffieu;CHAR;5
CODGEO;Code géographique;Code géographique;01331;Saint-Alban;CHAR;5
CODGEO;Code géographique;Code géographique;01332;Saint-André-de-Bâgé;CHAR;5
CODGEO;Code géographique;Code géographique;01333;Saint-André-de-Corcy;CHAR;5
CODGEO;Code géographique;Code géographique;01334;Saint-André-d'Huiriat;CHAR;5
CODGEO;Code géographique;Code géographique;01335;Saint-André-le-Bouchoux;CHAR;5
CODGEO;Code géographique;Code géographique;01336;Saint-André-sur-Vieux-Jonc;CHAR;5
CODGEO;Code géographique;Code géographique;01337;Saint-Bénigne;CHAR;5
CODGEO;Code géographique;Code géographique;01338;Groslée-Saint-Benoit;CHAR;5
CODGEO;Code géographique;Code géographique;01339;Saint-Bernard;CHAR;5
CODGEO;Code géographique;Code géographique;01342;Sainte-Croix;CHAR;5
CODGEO;Code géographique;Code géographique;01343;Saint-Cyr-sur-Menthon;CHAR;5
CODGEO;Code géographique;Code géographique;01344;Saint-Denis-lès-Bourg;CHAR;5
CODGEO;Code géographique;Code géographique;01345;Saint-Denis-en-Bugey;CHAR;5
CODGEO;Code géographique;Code géographique;01346;Saint-Didier-d'Aussiat;CHAR;5
CODGEO;Code géographique;Code géographique;01347;Saint-Didier-de-Formans;CHAR;5
CODGEO;Code géographique;Code géographique;01348;Saint-Didier-sur-Chalaronne;CHAR;5
CODGEO;Code géographique;Code géographique;01349;Saint-Éloi;CHAR;5
CODGEO;Code géographique;Code géographique;01350;Saint-Étienne-du-Bois;CHAR;5
CODGEO;Code géographique;Code géographique;01351;Saint-Étienne-sur-Chalaronne;CHAR;5
CODGEO;Code géographique;Code géographique;01352;Saint-Étienne-sur-Reyssouze;CHAR;5
CODGEO;Code géographique;Code géographique;01353;Sainte-Euphémie;CHAR;5
CODGEO;Code géographique;Code géographique;01354;Saint-Genis-Pouilly;CHAR;5
CODGEO;Code géographique;Code géographique;01355;Saint-Genis-sur-Menthon;CHAR;5
CODGEO;Code géographique;Code géographique;01356;Saint-Georges-sur-Renon;CHAR;5
CODGEO;Code géographique;Code géographique;01357;Saint-Germain-de-Joux;CHAR;5
CODGEO;Code géographique;Code géographique;01358;Saint-Germain-les-Paroisses;CHAR;5
CODGEO;Code géographique;Code géographique;01359;Saint-Germain-sur-Renon;CHAR;5
CODGEO;Code géographique;Code géographique;01360;Saint-Jean-de-Gonville;CHAR;5
CODGEO;Code géographique;Code géographique;01361;Saint-Jean-de-Niost;CHAR;5
CODGEO;Code géographique;Code géographique;01362;Saint-Jean-de-Thurigneux;CHAR;5
CODGEO;Code géographique;Code géographique;01363;Saint-Jean-le-Vieux;CHAR;5
CODGEO;Code géographique;Code géographique;01364;Saint-Jean-sur-Reyssouze;CHAR;5
CODGEO;Code géographique;Code géographique;01365;Saint-Jean-sur-Veyle;CHAR;5
CODGEO;Code géographique;Code géographique;01366;Sainte-Julie;CHAR;5
CODGEO;Code géographique;Code géographique;01367;Saint-Julien-sur-Reyssouze;CHAR;5
CODGEO;Code géographique;Code géographique;01368;Saint-Julien-sur-Veyle;CHAR;5
CODGEO;Code géographique;Code géographique;01369;Saint-Just;CHAR;5
CODGEO;Code géographique;Code géographique;01370;Saint-Laurent-sur-Saône;CHAR;5
CODGEO;Code géographique;Code géographique;01371;Saint-Marcel;CHAR;5
CODGEO;Code géographique;Code géographique;01372;Saint-Martin-de-Bavel;CHAR;5
CODGEO;Code géographique;Code géographique;01373;Saint-Martin-du-Frêne;CHAR;5
CODGEO;Code géographique;Code géographique;01374;Saint-Martin-du-Mont;CHAR;5
CODGEO;Code géographique;Code géographique;01375;Saint-Martin-le-Châtel;CHAR;5
CODGEO;Code géographique;Code géographique;01376;Saint-Maurice-de-Beynost;CHAR;5
CODGEO;Code géographique;Code géographique;01378;Saint-Maurice-de-Gourdans;CHAR;5
CODGEO;Code géographique;Code géographique;01379;Saint-Maurice-de-Rémens;CHAR;5
CODGEO;Code géographique;Code géographique;01380;Saint-Nizier-le-Bouchoux;CHAR;5
CODGEO;Code géographique;Code géographique;01381;Saint-Nizier-le-Désert;CHAR;5
CODGEO;Code géographique;Code géographique;01382;Sainte-Olive;CHAR;5
CODGEO;Code géographique;Code géographique;01383;Saint-Paul-de-Varax;CHAR;5
CODGEO;Code géographique;Code géographique;01384;Saint-Rambert-en-Bugey;CHAR;5
CODGEO;Code géographique;Code géographique;01385;Saint-Rémy;CHAR;5
CODGEO;Code géographique;Code géographique;01386;Saint-Sorlin-en-Bugey;CHAR;5
CODGEO;Code géographique;Code géographique;01387;Saint-Sulpice;CHAR;5
CODGEO;Code géographique;Code géographique;01388;Saint-Trivier-de-Courtes;CHAR;5
CODGEO;Code géographique;Code géographique;01389;Saint-Trivier-sur-Moignans;CHAR;5
CODGEO;Code géographique;Code géographique;01390;Saint-Vulbas;CHAR;5
CODGEO;Code géographique;Code géographique;01391;Salavre;CHAR;5
CODGEO;Code géographique;Code géographique;01392;Samognat;CHAR;5
CODGEO;Code géographique;Code géographique;01393;Sandrans;CHAR;5
CODGEO;Code géographique;Code géographique;01396;Sault-Brénaz;CHAR;5
CODGEO;Code géographique;Code géographique;01397;Sauverny;CHAR;5
