dep;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel
77;2022-02-10;1073016;1056208;720704;1423607.0;75.4;74.2;50.6
78;2022-02-10;1141684;1125068;789322;1448625.0;78.8;77.7;54.5
79;2022-02-10;309466;305279;234413;372627.0;83.0;81.9;62.9
80;2022-02-10;460883;454082;344080;569769.0;80.9;79.7;60.4
81;2022-02-10;306443;301609;222090;387898.0;79.0;77.8;57.3
82;2022-02-10;201203;197632;142127;262618.0;76.6;75.3;54.1
83;2022-02-10;840200;824210;585300;1073836.0;78.2;76.8;54.5
84;2022-02-10;425118;416999;285998;560997.0;75.8;74.3;51.0
85;2022-02-10;588904;581749;442404;683187.0;86.2;85.2;64.8
86;2022-02-10;348319;343233;260338;437398.0;79.6;78.5;59.5
87;2022-02-10;301400;297337;228528;370774.0;81.3;80.2;61.6
88;2022-02-10;289590;285547;213225;359520.0;80.5;79.4;59.3
89;2022-02-10;262775;258519;189442;332096.0;79.1;77.8;57.0
90;2022-02-10;104639;103179;74025;140145.0;74.7;73.6;52.8
91;2022-02-10;984734;968634;650413;1319401.0;74.6;73.4;49.3
92;2022-02-10;1270939;1254800;888246;1613762.0;78.8;77.8;55.0
93;2022-02-10;1114073;1091932;633665;1670149.0;66.7;65.4;37.9
94;2022-02-10;1047673;1032639;690320;1406041.0;74.5;73.4;49.1
95;2022-02-10;918071;902308;574731;1248354.0;73.5;72.3;46.0
971;2022-02-10;146033;138922;68520;376879.0;38.7;36.9;18.2
972;2022-02-10;146316;139984;73400;358749.0;40.8;39.0;20.5
973;2022-02-10;95451;85374;34084;290691.0;32.8;29.4;11.7
974;2022-02-10;568504;550447;304936;859959.0;66.1;64.0;35.5
976;2022-02-10;158451;134858;28738;279471.0;56.7;48.3;10.3
977;2022-02-10;8556;8222;5065;9961.0;85.9;82.5;50.8
978;2022-02-10;13923;12968;5314;35334.0;39.4;36.7;15.0
