reg;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel
07;39;2022-02-10;1840;1772;1054;1752.0;99.0;99.0;60.2
07;49;2022-02-10;1712;1665;1026;1808.0;94.7;92.1;56.7
07;59;2022-02-10;1698;1648;1118;1548.0;99.0;99.0;72.2
07;09;2022-02-10;5;3;1;517.0;1.0;0.6;0.2
07;64;2022-02-10;501;487;340;433.0;99.0;99.0;78.5
07;69;2022-02-10;356;341;261;309.0;99.0;99.0;84.5
07;74;2022-02-10;239;229;178;251.0;95.2;91.2;70.9
07;79;2022-02-10;164;161;118;170.0;96.5;94.7;69.4
07;80;2022-02-10;133;128;88;216.0;61.6;59.3;40.7
08;04;2022-02-10;10;4;0;2722.2;0.4;0.1;0.0
08;11;2022-02-10;18;12;3;1223.3;1.5;1.0;0.2
08;17;2022-02-10;845;771;61;3969.8;21.3;19.4;1.5
08;24;2022-02-10;1212;1092;323;2459.1;49.3;44.4;13.1
08;29;2022-02-10;808;733;195;2086.3;38.7;35.1;9.3
08;39;2022-02-10;2320;2140;693;4598.4;50.5;46.5;15.1
08;49;2022-02-10;2535;2374;1034;5612.0;45.2;42.3;18.4
08;59;2022-02-10;2989;2825;1385;5042.5;59.3;56.0;27.5
08;09;2022-02-10;29;15;0;2990.8;1.0;0.5;0.0
08;64;2022-02-10;1185;1136;553;1727.8;68.6;65.7;32.0
08;69;2022-02-10;838;790;427;1332.2;62.9;59.3;32.1
08;74;2022-02-10;567;543;330;766.5;74.0;70.8;43.1
08;79;2022-02-10;332;317;198;386.4;85.9;82.0;51.2
08;80;2022-02-10;235;216;112;416.7;56.4;51.8;26.9
11;04;2022-02-10;392;132;34;793690.0;0.0;0.0;0.0
11;11;2022-02-10;23262;15456;438;315880.0;7.4;4.9;0.1
11;17;2022-02-10;701568;678343;91821;919611.0;76.3;73.8;10.0
11;24;2022-02-10;942418;925600;543237;1099492.0;85.7;84.2;49.4
11;29;2022-02-10;777101;765782;462316;863043.0;90.0;88.7;53.6
11;39;2022-02-10;1570625;1547947;957170;1757848.0;89.3;88.1;54.5
11;49;2022-02-10;1529735;1513219;1051784;1671811.0;91.5;90.5;62.9
11;59;2022-02-10;1461038;1448977;1143294;1538636.0;95.0;94.2;74.3
11;09;2022-02-10;21164;13266;108;801166.0;2.6;1.7;0.0
11;64;2022-02-10;595088;590514;493795;631296.0;94.3;93.5;78.2
11;69;2022-02-10;488179;484162;419480;546545.0;89.3;88.6;76.8
11;74;2022-02-10;456967;453414;401556;480366.0;95.1;94.4;83.6
11;79;2022-02-10;294738;292112;258585;312596.0;94.3;93.4;82.7
11;80;2022-02-10;475388;467167;395538;546230.0;87.0;85.5;72.4
24;04;2022-02-10;36;11;2;131083.0;0.0;0.0;0.0
24;11;2022-02-10;6156;3446;71;63840.0;9.6;5.4;0.1
24;17;2022-02-10;167778;162912;26415;190351.0;88.1;85.6;13.9
24;24;2022-02-10;191095;187971;124428;184324.0;99.0;99.0;67.5
24;29;2022-02-10;115460;113332;73510;124422.0;92.8;91.1;59.1
24;39;2022-02-10;257207;253260;174160;292368.0;88.0;86.6;59.6
24;49;2022-02-10;289430;286607;222951;320587.0;90.3;89.4;69.5
24;59;2022-02-10;320181;317968;273216;340563.0;94.0;93.4;80.2
24;09;2022-02-10;4833;2500;5;153323.0;3.2;1.6;0.0
24;64;2022-02-10;154472;153571;138897;166953.0;92.5;92.0;83.2
24;69;2022-02-10;150877;150045;138445;163733.0;92.1;91.6;84.6
24;74;2022-02-10;149612;148730;138469;148237.0;99.0;99.0;93.4
24;79;2022-02-10;93474;92779;85948;91784.0;99.0;99.0;93.6
24;80;2022-02-10;166136;163279;142672;187505.0;88.6;87.1;76.1
27;04;2022-02-10;50;15;4;135181.0;0.0;0.0;0.0
27;11;2022-02-10;5903;3679;70;66215.0;8.9;5.6;0.1
27;17;2022-02-10;168100;163328;21987;201897.0;83.3;80.9;10.9
27;24;2022-02-10;198553;195284;124682;205819.0;96.5;94.9;60.6
27;29;2022-02-10;120061;117880;72528;136034.0;88.3;86.7;53.3
27;39;2022-02-10;263541;259403;169086;315411.0;83.6;82.2;53.6
27;49;2022-02-10;298030;295059;220738;341897.0;87.2;86.3;64.6
27;59;2022-02-10;339592;337236;281637;373767.0;90.9;90.2;75.4
27;09;2022-02-10;4430;2566;7;157871.0;2.8;1.6;0.0
27;64;2022-02-10;168909;167932;148084;186536.0;90.6;90.0;79.4
27;69;2022-02-10;166531;165511;150076;184261.0;90.4;89.8;81.4
27;74;2022-02-10;165779;164739;150920;169254.0;97.9;97.3;89.2
27;79;2022-02-10;103658;102881;94153;105168.0;98.6;97.8;89.5
27;80;2022-02-10;179832;176865;152069;203728.0;88.3;86.8;74.6
28;04;2022-02-10;46;11;0;169604.0;0.0;0.0;0.0
28;11;2022-02-10;9767;5608;66;82755.0;11.8;6.8;0.1
28;17;2022-02-10;229411;223384;33427;248908.0;92.2;89.7;13.4
28;24;2022-02-10;262126;258368;177030;256809.0;99.0;99.0;68.9
28;29;2022-02-10;161337;158665;105996;167203.0;96.5;94.9;63.4
28;39;2022-02-10;352131;347151;243603;385115.0;91.4;90.1;63.3
28;49;2022-02-10;378094;374727;295790;407095.0;92.9;92.0;72.7
28;59;2022-02-10;414470;411814;356978;435868.0;95.1;94.5;81.9
28;09;2022-02-10;8338;4713;13;197987.0;4.2;2.4;0.0
28;64;2022-02-10;204545;203429;184521;216759.0;94.4;93.9;85.1
28;69;2022-02-10;198505;197430;182416;211687.0;93.8;93.3;86.2
28;74;2022-02-10;190221;189053;175821;187028.0;99.0;99.0;94.0
28;79;2022-02-10;112769;111941;103086;111707.0;99.0;99.0;92.3
28;80;2022-02-10;199762;196380;170471;224975.0;88.8;87.3;75.8
32;04;2022-02-10;118;27;7;339937.0;0.0;0.0;0.0
32;11;2022-02-10;16695;9843;154;159229.0;10.5;6.2;0.1
32;17;2022-02-10;421301;409779;67824;474509.0;88.8;86.4;14.3
32;24;2022-02-10;489768;482275;325822;516612.0;94.8;93.4;63.1
32;29;2022-02-10;304270;299000;197075;334328.0;91.0;89.4;58.9
32;39;2022-02-10;672298;662701;461465;752457.0;89.3;88.1;61.3
32;49;2022-02-10;701977;695216;541076;759226.0;92.5;91.6;71.3
32;59;2022-02-10;720511;715417;611593;763464.0;94.4;93.7;80.1
32;09;2022-02-10;13610;7730;50;391814.0;3.5;2.0;0.0
32;64;2022-02-10;335421;333278;297479;361279.0;92.8;92.2;82.3
32;69;2022-02-10;314439;312446;284839;340870.0;92.2;91.7;83.6
32;74;2022-02-10;295590;293511;268989;292164.0;99.0;99.0;92.1
32;79;2022-02-10;162217;160832;145592;159837.0;99.0;99.0;91.1
32;80;2022-02-10;274431;269101;228433;316936.0;86.6;84.9;72.1
44;04;2022-02-10;96;29;3;280007.0;0.0;0.0;0.0
44;11;2022-02-10;13132;7985;158;130943.0;10.0;6.1;0.1
44;17;2022-02-10;326461;316903;50421;392318.0;83.2;80.8;12.9
44;24;2022-02-10;409300;402388;261119;449393.0;91.1;89.5;58.1
44;29;2022-02-10;266716;262029;166868;303553.0;87.9;86.3;55.0
44;39;2022-02-10;575468;566421;382264;675514.0;85.2;83.9;56.6
44;49;2022-02-10;612089;605750;459860;694218.0;88.2;87.3;66.2
44;59;2022-02-10;685732;680740;575411;754610.0;90.9;90.2;76.3
44;09;2022-02-10;10740;6228;13;318357.0;3.4;2.0;0.0
44;64;2022-02-10;329604;327577;290751;361970.0;91.1;90.5;80.3
44;69;2022-02-10;311914;310024;281658;341045.0;91.5;90.9;82.6
44;74;2022-02-10;289030;287189;262883;285163.0;99.0;99.0;92.2
44;79;2022-02-10;173208;171868;155816;180660.0;95.9;95.1;86.2
44;80;2022-02-10;302142;297312;255333;343996.0;87.8;86.4;74.2
