dep;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel
06;39;2022-02-10;111112;108690;64042;126997.0;87.5;85.6;50.4
06;49;2022-02-10;122359;120484;82975;136067.0;89.9;88.5;61.0
06;59;2022-02-10;137669;136071;107508;146182.0;94.2;93.1;73.5
06;09;2022-02-10;865;551;9;56870.0;1.5;1.0;0.0
06;64;2022-02-10;63820;63183;53233;67948.0;93.9;93.0;78.3
06;69;2022-02-10;60699;60181;52930;65935.0;92.1;91.3;80.3
06;74;2022-02-10;62717;62205;56059;64545.0;97.2;96.4;86.9
06;79;2022-02-10;47735;47305;42546;49474.0;96.5;95.6;86.0
06;80;2022-02-10;78510;76881;65193;89569.0;87.7;85.8;72.8
07;04;2022-02-10;3;1;1;15100.0;0.0;0.0;0.0
07;11;2022-02-10;513;361;10;7531.0;6.8;4.8;0.1
07;17;2022-02-10;18018;17419;2315;23408.0;77.0;74.4;9.9
07;24;2022-02-10;20742;20383;11963;18892.0;99.0;99.0;63.3
07;29;2022-02-10;11402;11219;6163;13765.0;82.8;81.5;44.8
07;39;2022-02-10;27618;27165;16104;34837.0;79.3;78.0;46.2
07;49;2022-02-10;33806;33447;23466;41497.0;81.5;80.6;56.5
07;59;2022-02-10;40777;40397;32571;46663.0;87.4;86.6;69.8
07;09;2022-02-10;353;218;3;18154.0;1.9;1.2;0.0
07;64;2022-02-10;20573;20404;17580;23577.0;87.3;86.5;74.6
07;69;2022-02-10;20558;20432;18411;23453.0;87.7;87.1;78.5
07;74;2022-02-10;20366;20232;18459;21460.0;94.9;94.3;86.0
07;79;2022-02-10;13504;13398;12246;13721.0;98.4;97.6;89.3
07;80;2022-02-10;21772;21359;18248;24817.0;87.7;86.1;73.5
08;04;2022-02-10;7;2;0;13099.0;0.1;0.0;0.0
08;11;2022-02-10;585;357;5;6551.0;8.9;5.4;0.1
08;17;2022-02-10;17925;17395;2829;19588.0;91.5;88.8;14.4
08;24;2022-02-10;19550;19214;12760;18037.0;99.0;99.0;70.7
08;29;2022-02-10;11670;11452;7359;13085.0;89.2;87.5;56.2
08;39;2022-02-10;26558;26125;18225;30561.0;86.9;85.5;59.6
08;49;2022-02-10;29301;29007;22781;32888.0;89.1;88.2;69.3
08;59;2022-02-10;34476;34205;29319;37571.0;91.8;91.0;78.0
08;09;2022-02-10;469;251;0;15286.0;3.1;1.6;0.0
08;64;2022-02-10;16907;16770;14948;18636.0;90.7;90.0;80.2
08;69;2022-02-10;16362;16273;14972;17922.0;91.3;90.8;83.5
08;74;2022-02-10;15383;15259;14104;15463.0;99.0;98.7;91.2
08;79;2022-02-10;8497;8413;7694;8669.0;98.0;97.0;88.8
08;80;2022-02-10;15326;15046;12823;18175.0;84.3;82.8;70.6
09;04;2022-02-10;3;2;0;6587.0;0.0;0.0;0.0
