12-15,1256092,21335,121
16-17,821239,334184,13441
18-24,3543684,3119819,212726
25-29,2901944,2628616,279406
30-34,3215694,2963734,368883
35-39,3239640,3045278,455774
40-44,3197411,3053340,679251
45-49,3254422,3144762,902282
50-54,3660472,3571100,1747709
55-59,3661260,3591336,2047373
60-64,3186995,3137850,2179173
65-69,2712912,2678066,2219668
70-74,2735629,2704380,2419487
75-79,2106196,2078375,1878148
80+,2906724,2824095,2410087
